race,horse_name,post_position,overall_class_rating,class_rank,class_category,class_edge,earnings_class_score,hidden_class_score,class_move_direction
1,BANDED HUMOR,5,66.85077274801311,1.0,Allowance,Rising_star,76.25,50.12757582671039,Unknown
1,KNICKS CODE,1,65.76544522723643,2.0,Allowance,Rising_star,76.25,46.50981742412144,Unknown
1,SANSONE,8,55.88628941578306,3.0,Claiming,Rising_star,48.225,55.6167980526102,Lateral
1,CROMWELL,2,52.051863472325195,4.0,Claiming,Hidden_quality,39.81082638061184,55.45663867016621,Lateral
1,KNICKS GATE,10,49.35623241854815,5.0,Claiming,Rising_star,38.181,48.915941395160516,Lateral
1,CHILLAX,12,49.097153846153844,6.0,Claiming,Rising_star,42.75,41.198846153846155,Lateral
1,COFFEE TALK,11,48.14673076923077,7.0,Claiming,Rising_star,37.95,45.230769230769226,Lateral
1,FOUNTAIN LAKE,3,46.79773507173823,8.0,Claiming,"Hidden_quality, Rising_star",32.407666666666664,49.04761690579412,Lateral
1,MONEY MAN,7,44.47708923076923,9.0,Claiming,Rising_star,33.7696,39.269230769230774,Lateral
1,BOURBON SOCIETY,9,44.15408883304195,10.0,Claiming,None,30.848488005050505,42.574230769230766,Lateral
1,STURDY,4,44.12451804028097,11.0,Claiming,"Hidden_quality, Faces_easier",29.474659863945583,57.03640367168485,Lateral
1,KICKING CLEAR,6,43.485646165979134,12.0,Claiming,"Hidden_quality, Rising_star",28.36126498422713,44.07692307692308,Lateral
2,DON'T BRING CRAZY,6,53.737742798993764,1.0,Claiming,Hidden_quality,31.224201596806388,69.78950693476965,Lateral
2,GENEROUS LOVER,10,53.603964577976484,2.0,Claiming,"Hidden_quality, Rising_star",48.075,69.06738192658827,Up
2,LEMON MUFFIN,8,51.31062591386399,3.0,Claiming,"Significant_drop, Hidden_quality",44.07912659652508,63.25006315142567,Down
2,TAPIT QUICK,5,47.35436456872592,4.0,Claiming,Rising_star,48.04,48.287881895753074,Up
2,SECRET STATEMENT,1,47.16226617289804,5.0,Claiming,None,38.254010298747794,49.82653846153846,Up
2,HOME GAME,4,44.847704060698135,6.0,Claiming,None,45.215410733175354,56.66923076923077,Up
2,IZZY'S MONSTER,3,41.48365977377389,7.0,Claiming,Rising_star,35.65393215960417,47.29796767317336,Up
2,NORMANDY QUEEN,7,40.43187203516713,8.0,Claiming,None,44.1988195302843,51.808010821797325,Up
2,GRACE ON GRACE,2,40.256298131187364,9.0,Claiming,"Hidden_quality, Rising_star",39.215939393939394,58.697084679715445,Up
2,BARBRATINA,11,39.64521845398909,10.0,Low,Hidden_quality,37.492254313918934,63.41234670908524,Up
2,DESERT RHAPSODY,9,36.002678052860844,11.0,Low,Hidden_quality,29.80905994550409,58.62867025794667,Up
3,GOAL ORIENTED,5,58.2679682150764,1.0,Claiming,Rising_star,70.25,55.518227383588005,Up
3,SORCERER'S SILVER,11,52.40928390055574,2.0,Claiming,Rising_star,70.25,52.65594633518581,Up
3,HYPNUS,7,51.66223076923077,3.0,Claiming,Rising_star,56.5,58.29076923076923,Up
3,RAPTURE,6,50.9433818138549,4.0,Claiming,None,69.35,61.61960604618301,Up
3,BRACKET BUSTER,2,48.74166997031164,5.0,Claiming,Rising_star,58.06,58.71556656770546,Up
3,VALENTINIAN,3,48.29834200776678,6.0,Claiming,Rising_star,56.5,59.57780669255594,Up
3,TIZ SECURE,9,45.15038461538462,7.0,Claiming,Rising_star,56.5,49.08461538461538,Up
3,RACING DRIVER,4,42.311861043918576,8.0,Claiming,Rising_star,40.53,46.911203479728584,Up
3,STRUMMIN,10,37.60543792743231,9.0,Low,Rising_star,46.5625,51.341043091441044,Up
3,YINZER,8,36.996818656727996,10.0,Low,"Hidden_quality, Rising_star",38.55275109170306,61.326935551538725,Up
3,VAMOS CARLITOS,1,32.32109934511306,11.0,Low,None,37.886887433584576,46.74,Up
4,IMPLEMENTATION,10,62.4014667443639,1.0,Allowance,Rising_star,53.61633635499671,65.08038461538462,Up
4,INVEIGLED,11,62.10459196582593,2.0,Allowance,Rising_star,54.31666666666667,67.20697321941978,Lateral
4,BEST ACTOR,7,61.935008897056434,3.0,Allowance,Hidden_quality,45.1530619235621,72.05377010484497,Down
4,KUPUNA,6,59.21138934250679,4.0,Claiming,Hidden_quality,44.65438531999398,72.05638649503169,Lateral
4,PATRIOT SPIRIT,12,56.61852465268619,5.0,Claiming,Hidden_quality,44.8939076187948,71.38755408076177,Lateral
4,OSBOURNE,2,55.69891296547391,6.0,Claiming,Hidden_quality,44.451601461736885,60.652307692307694,Lateral
4,CASTLE CHAOS,4,54.68900417304215,7.0,Claiming,Hidden_quality,44.223086196503914,61.79538461538462,Up
4,QUALITY CHIC,14,53.827437322893125,8.0,Claiming,Hidden_quality,45.62911732830249,69.31444841719002,Lateral
4,CHIRON,8,53.79414323607428,9.0,Claiming,Rising_star,46.76724137931035,50.82961538461539,Lateral
4,LIBERAL ARTS,9,52.53341521275573,10.0,Claiming,Hidden_quality,45.21955517364521,65.61538461538461,Up
4,ACCRETIVE,3,52.215673691968846,11.0,Claiming,"Hidden_quality, Rising_star",46.612276982020404,66.63383016686554,Up
4,KEEN CAT,5,42.998095619429314,12.0,Claiming,None,37.734933228180864,49.22458555582642,Up
4,NEW KING,13,41.3448630331181,13.0,Claiming,Hidden_quality,37.48914835164835,64.91582091625446,Up
4,ASHCROFT,1,34.52866485839742,14.0,Low,Hidden_quality,30.57028088190879,52.573461538461544,Up
5,SACRED WISH,6,65.0343636619167,1.0,Allowance,None,62.89035019671888,68.27902024464403,Up
