race,horse_name,class_move_direction,class_move_magnitude,class_suitability_score
1,KNICKS CODE,Unknown,,70
1,CROMWELL,Lateral,0.0,70
1,FOUNTAIN LAKE,Lateral,0.0,70
1,STURDY,Lateral,0.0,55
1,BANDED HUMOR,Unknown,,70
1,KICKING CLEAR,Lateral,0.0,70
1,MONEY MAN,Lateral,0.0,70
1,SANSONE,Lateral,0.0,70
1,BOURBON SOCIETY,Lateral,0.0,70
1,KNICKS GATE,Lateral,0.0,70
1,COFFEE TALK,Lateral,0.0,70
1,CHILLAX,Lateral,0.0,70
2,SECRET STATEMENT,Up,0.7000000000000002,60
2,GRACE ON GRACE,Up,5.2,20
2,IZZY'S MONSTER,Up,3.2,45
2,HOME GAME,Up,5.2,30
2,TAPIT QUICK,Up,5.2,45
2,DON'T BRING CRAZY,Lateral,0.20000000000000018,75
2,NORMANDY QUEEN,Up,5.2,20
2,LEMON MUFFIN,Down,1.8999999999999995,50
2,DESERT RHAPSODY,Up,5.2,20
2,GENEROUS LOVER,Up,5.2,45
2,BARBRATINA,Up,5.2,15
3,VAMOS CARLITOS,Up,5.0,5
3,BRACKET BUSTER,Up,5.0,20
3,VALENTINIAN,Up,5.0,20
3,RACING DRIVER,Up,5.0,40
3,GOAL ORIENTED,Up,5.0,40
3,RAPTURE,Up,5.0,5
3,HYPNUS,Up,5.0,35
3,YINZER,Up,5.0,5
3,TIZ SECURE,Up,5.0,20
3,STRUMMIN,Up,5.0,5
3,SORCERER'S SILVER,Up,5.0,20
4,ASHCROFT,Up,5.1,20
4,OSBOURNE,Lateral,0.39999999999999947,70
4,ACCRETIVE,Up,0.5999999999999996,45
4,CASTLE CHAOS,Up,0.5999999999999996,65
4,KEEN CAT,Up,2.3,45
4,KUPUNA,Lateral,0.39999999999999947,70
4,BEST ACTOR,Down,1.0,80
4,CHIRON,Lateral,0.39999999999999947,70
4,LIBERAL ARTS,Up,5.1,50
4,IMPLEMENTATION,Up,2.0999999999999996,75
4,INVEIGLED,Lateral,0.09999999999999964,70
4,PATRIOT SPIRIT,Lateral,0.0,60
4,NEW KING,Up,5.1,20
4,QUALITY CHIC,Lateral,0.09999999999999964,50
5,VENENCIA,Up,3.500000000000001,30
5,MOVIN' ON UP,Up,7.300000000000001,20
5,PIN UP BETTY,Up,7.300000000000001,20
5,SERENE SERAPH,Up,7.300000000000001,15
5,FIVE TOWNS,Up,2.3000000000000007,45
5,SACRED WISH,Up,1.200000000000001,65
5,TAX IMPLICATIONS,Up,1.3000000000000007,30
5,POOLSIDE WITH SLIM,Up,7.300000000000001,20
5,SIMPLY IN FRONT,Down,1.0,20
5,SPECIAL WAN,Up,7.300000000000001,5
6,MADAKET ROAD,Up,1.3000000000000007,35
6,BUILT,Up,7.300000000000001,20
6,CALIFORNIA BURRITO,Up,7.300000000000001,20
6,SMOKEN WICKED,Up,7.300000000000001,5
6,GATE TO WIRE,Up,7.300000000000001,5
6,GAMING,Up,7.300000000000001,35
6,MACHO MUSIC,Up,7.300000000000001,20
6,INNOVATOR,Up,7.300000000000001,5
6,PERFECT FORCE,Up,7.300000000000001,45
7,COPPOLA,Lateral,0.0,30
7,AMBIVALENT,Up,2.8000000000000007,40
7,NOBALS,Up,2.3000000000000007,45
7,ONE TIMER,Lateral,0.0,30
7,ARREST ME RED,Down,0.7999999999999989,30
7,RUN CARSON,Up,7.300000000000001,45
7,THINK BIG,Up,7.300000000000001,35
7,ROGUE LIGHTNING,Up,2.3000000000000007,35
7,BOSS SULLY,Up,2.3000000000000007,15
7,UNCONQUERABLE KEEN,Lateral,0.20000000000000107,30
7,EAMONN,Lateral,0.20000000000000107,30
7,MISCHIEVOUS ROGUE,Up,4.1000000000000005,15
8,JUST STEEL,Up,3.200000000000001,15
8,BANISHING,Up,3.6000000000000005,45
8,BOOK'EM DANNO,Up,3.3000000000000007,45
8,GIANT MISCHIEF,Up,8.3,20
8,TEJANO TWIST,Up,2.0,30
8,EXTRA ANEJO,Up,8.3,35
8,MINDFRAME,Up,8.3,35
8,HOIST THE GOLD,Up,1.200000000000001,30
8,HERE MI SONG,Lateral,0.0,30
8,NYSOS,Up,8.3,20
8,MULLIKIN,Up,8.3,35
9,WARLANDER,Up,8.3,20
9,SCIPIO,Up,8.3,35
9,NEW CENTURY,Up,4.500000000000001,30
9,MI BAGO,Up,8.3,15
9,TEST SCORE,Up,8.3,35
9,MAXIMUM PROMISE,Up,8.3,20
9,ZULU KINGDOM,Up,8.3,20
9,CHARLIE'S TO BLAME,Up,8.3,20
9,GIOCOSO,Up,8.3,5
9,IRON MAN CAL,Up,8.3,35
9,CLASSIC OF COURSE,Up,8.3,30
9,GOLDEN AFTERNOON,Up,8.3,20
9,MAUI STRONG,Up,8.3,35
9,MEGALODON,Up,8.3,35
9,HAMMERHEAD,Up,8.3,20
9,SPIRIT RAGS,Up,8.3,15
9,A. P. KID,Up,8.3,40
9,DISCREET DANCER,Up,8.3,20
10,SCYLLA,Up,8.3,35
10,KOPION,Up,8.3,35
10,BENEDETTA,Up,2.200000000000001,30
10,AWESOME TREAT,Up,2.3000000000000007,15
10,HAULIN ICE,Up,3.3000000000000007,15
10,MYSTIC LAKE,Up,2.200000000000001,45
10,VAHVA,Up,3.8000000000000007,30
10,WAYS AND MEANS,Up,8.3,20
10,EMERY,Up,8.3,35
10,DORTH VADER,Up,3.3000000000000007,30
10,POSITANO SUNSET,Up,3.3000000000000007,45
10,HOPE ROAD,Up,8.3,20
10,MY MANE SQUEEZE,Up,3.3000000000000007,30
10,TAXED,Lateral,0.0,30
10,GRAND JOB,Up,8.3,35
10,MISS SUSAN B,Up,8.3,40
11,INTEGRATION,Up,1.200000000000001,50
11,GOLD PHOENIX,Up,1.200000000000001,30
11,HIGHWAY ROBBER,Up,4.300000000000001,30
11,REDISTRICTING,Up,8.3,5
11,IDRATHERBEBLESSED,Up,4.500000000000001,30
11,TAKING CANDY,Up,8.3,35
11,RUNNING BEE,Up,1.200000000000001,15
11,CAMEO PERFORMANCE,Up,8.3,20
11,MERCANTE,Up,8.3,35
11,SPIRIT OF ST LOUIS,Up,3.3000000000000007,30
11,BRILLIANT BERTI,Up,8.3,20
11,GIGANTE,Up,3.200000000000001,45
12,CITIZEN BULL,Up,8.3,20
12,NEOEQUOS,Up,8.3,35
12,FINAL GAMBIT,Up,8.3,35
12,RODRIGUEZ,Up,8.3,35
12,AMERICAN PROMISE,Up,8.3,20
12,ADMIRE DAYTONA,Up,8.3,35
12,LUXOR CAFE,Up,8.3,35
12,JOURNALISM,Up,8.3,35
12,BURNHAM SQUARE,Up,9.3,35
12,GRANDE,Up,8.3,35
12,FLYING MOHAWK,Up,8.3,35
12,EAST AVENUE,Up,8.3,20
12,PUBLISHER,Up,8.3,20
12,TIZTASTIC,Up,8.3,35
12,RENDER JUDGMENT,Up,8.3,5
12,COAL BATTLE,Up,8.3,35
12,SANDMAN,Up,8.3,35
12,SOVEREIGNTY,Up,8.3,35
12,CHUNK OF GOLD,Up,8.3,35
12,OWEN ALMIGHTY,Up,8.3,35
