race,horse_name,post_position,age,composite_fitness_score,fitness_category,fitness_rank,improving,recovery_score,form_momentum_score,cardiovascular_fitness_score,sectional_improvement_score,energy_efficiency_score
1,M J'S YOSHIDA,7,2003,48.333333333333336,Fair,1.0,False,,,,,40.0
1,MUNNINGS EXPRESS,6,2003,46.59302469135802,Fair,2.0,False,100.0,,,-0.4418518518518529,10.0
1,SASSY SHENANIGANS,4,2003,37.34621941342941,Poor,3.0,True,51.04749086605073,31.153411816048518,45.5,1.3764137984772296,45.0
1,GEOPOLITICS,5,2004,31.49545024524878,Poor,4.0,True,7.931567920076316,66.36016775343498,,2.1809657979813872,-7.5
1,PRINCESS MISCHIEF,8,2003,27.893009603064474,Poor,5.0,False,63.308989218918136,-71.71927634488559,61.1,2.668344744354285,62.0
1,BELLACOSE,10,2003,26.075327301950853,Poor,6.0,True,3.4343019877353997,77.79488110398448,30.875,1.0144473866519037,-6.666666666666668
1,FIRST CLASS CAT,9,2005,18.878268386177588,Poor,7.0,False,9.492294514930755,-4.308316059908369,48.5,1.5856318620431447,8.0
1,CAROL T,2,2004,17.957574286611308,Poor,8.0,False,69.14423267384878,-67.57210323874918,27.6,2.5733162845682642,26.0
1,CAPITAL GAL,3,2006,11.948080206091491,Poor,9.0,False,0.00015591706902634924,-22.915240187972763,48.5,0.10356550745268805,-4.0
1,SCARLET'S DREAM,1,2004,2.396731791348737,Poor,10.0,False,50.88125121973882,-92.22662988131437,5.4725,2.253269409667964,-2.0
2,RAGTIME,1,2003,53.333333333333336,Fair,1.0,False,,,,,
2,ENDORSE,10,2003,53.333333333333336,Fair,1.0,False,,,,,
2,RESURGE,12,2003,53.333333333333336,Fair,1.0,False,,,,,
2,FILLY FREEDOM,2,2003,50.0,Fair,4.0,False,,,,,
2,LOST HORIZON,9,2003,50.0,Fair,4.0,False,,,,,
2,MINT TEA,13,2003,50.0,Fair,4.0,False,,,,,
2,SURPRISE,5,2003,46.375,Fair,7.0,False,,,58.25,,0.0
2,NUMBERED,6,2003,45.791666666666664,Fair,8.0,False,,,44.75,,10.0
2,CARA'S CHIANTI,7,2003,42.333333333333336,Fair,9.0,False,,,44.0,,10.0
2,ABSOLUTE HONOR,8,2003,34.041666666666664,Poor,10.0,False,,,34.25,,-30.0
2,ALL NIGHT REVIVAL,4,2003,30.147887690352633,Poor,11.0,True,19.810154336274763,27.77961935928446,74.875,0.9225524465565977,7.5
2,SOLO VINCERE,11,2003,28.333333333333332,Poor,12.0,False,,,0.0,,-30.0
2,SWEET MACKENZIE,3,2003,23.468417528129436,Poor,13.0,False,59.452054797019436,8.592110801722871,42.083333333333336,0.6830062367009859,-20.0
3,LASER SHARP,11,2004,45.4826096418212,Fair,1.0,True,53.849582551264845,66.39756055447731,51.125,3.5235147451850257,48.0
3,FINAL VERDICT,8,2005,41.5321685581252,Fair,2.0,True,78.29473550388707,63.891941318667044,48.5,0.5063345261970634,8.0
3,WORKS FOR ME,3,2004,37.97959320595614,Poor,3.0,False,84.25211722011136,9.399724606423192,57.5,2.725717409202302,24.0
3,REFUEL,7,2004,37.957411241395484,Poor,4.0,True,56.475883093585125,47.31974591093464,44.75,4.198838443853127,25.0
3,RUN CURTIS RUN,4,2006,37.705892354052,Poor,5.0,False,62.359298705582994,36.314511615627524,54.5,-0.938456196898541,24.0
3,WHAT'S UP BRO,10,2005,28.495287347004307,Poor,6.0,False,63.39975249867366,-20.396291143879278,50.75,2.218262727231445,25.0
3,ANTARES,2,2005,25.443587919402216,Poor,7.0,True,1.543358108207395e-07,54.07345994382111,45.6875,0.40056741825638464,-17.5
3,URBAN LEGEND,5,2004,24.477813919489034,Poor,8.0,False,51.34541298168495,-52.46805875098563,52.055,0.9345292862348847,10.0
3,BONUS MOVE,6,2004,19.741192646678517,Poor,9.0,False,76.96397911126434,-56.882786108750196,55.75,-1.3840371224430412,-6.0
3,FORE HARP,1,2007,13.18831205238164,Poor,10.0,False,75.14772930752859,-100.0,35.0,1.9821430067612473,-18.0
3,STEP FORWARD,9,2006,9.312887420326417,Poor,11.0,False,0.052094700773290266,-23.07210458802775,52.4375,3.959834409212964,-27.5
4,VEHEMENTE,7,2003,40.29979749261176,Fair,1.0,True,67.90253796134039,56.03235085535852,50.0,1.8638961389716537,16.0
4,JACKSON'S DIXIE,4,2005,34.09553523970529,Poor,2.0,True,71.65313105737893,24.253692218621193,46.1,2.56638816223163,10.0
4,CLOVER STREET,9,2005,33.32145903440188,Poor,3.0,True,53.892340809379334,57.97716079972116,31.528,2.53125259731081,4.0
4,EMBRACEABLE GAL,2,2005,33.18339779265159,Poor,4.0,True,68.22542151017184,25.047098816866004,14.875,4.952866428871697,36.0
4,SHORT SHIFT,8,2005,32.12515621813766,Poor,5.0,False,100.0,4.499911460995964,39.5,3.751025847829993,-5.0
4,NOLITA,1,2005,31.86246929989606,Poor,6.0,False,45.68145820455587,-5.215320493644464,50.0,2.7086780884649357,48.0
4,KRYSTALHEIR,6,2005,30.900785823106066,Poor,7.0,True,100.0,16.035701122034833,35.875,0.9940138166015838,-17.5
4,ECHO IN ETERNITY,3,2006,30.198102910900882,Poor,8.0,True,56.475883093585125,10.348463151872831,37.8125,4.551771219947327,22.0
4,THIRTEEN RED FLAGS,10,2004,8.216900615746136,Poor,9.0,False,32.919298780790555,-57.757032344048675,0.0,2.139137257734938,2.0
4,ARMY GAL,5,2003,-0.6280302698457779,,10.0,False,0.3805315070111235,-82.19268961540604,11.0,-0.45602351067976243,17.5
5,STRATEGIC FOCUS,6,2003,55.0,Fair,1.0,False,,,70.0,,60.0
5,WAITLIST,5,2004,44.84747595437733,Fair,2.0,True,74.08182206817179,65.86141365559203,65.55,3.591620002500137,10.0
5,COSTA TERRA,4,2006,43.123972854147816,Fair,3.0,True,100.0,56.6137680527476,40.9125,3.2175690721392827,8.0
5,CAPITOL HILL,9,2003,40.42580929256298,Fair,4.0,True,99.53211598395555,42.77175656146889,24.083333333333336,1.1676498766201089,25.0
5,GOOD SKATE,3,2006,35.417084576193744,Poor,5.0,True,90.06038283857802,54.27691542286275,6.0,2.1652091957216903,10.0
5,UNBRIDLED BOMBER,1,2006,28.810005330166575,Poor,6.0,False,89.53217096813027,-70.54965721245365,60.550000000000004,3.327518225322811,20.0
5,FRIZZANTE,8,2004,25.048500310849146,Poor,7.0,False,25.685712700000472,-4.61927187080978,54.3,2.9245610359041705,22.0
5,SEEKING UNITY,10,2005,23.821761025152416,Poor,8.0,False,66.71837256838968,-49.45682844775644,85.83662394873852,-0.16760191845725023,-10.0
5,DREAMLIKE,7,2005,17.060790458492374,Poor,9.0,False,47.45597312734525,-77.0325133472558,54.800000000000004,1.1412829708647743,6.0
5,MALARCHUK,2,2004,9.067069708041126,Poor,10.0,False,44.722662571465904,-97.386170685595,55.65,1.4159263623758607,0.0
