race,horse_name,bounce_risk,freshening_success_rate,handles_layoffs_well,optimal_layoff_days,currently_freshening,freshening_days,races_to_peak,form_cycle_state,current_days_off,previous_bounce_magnitude,bounce_tendency,recovery_ability,avg_recovery_points,avg_recovery_days,currently_recovering,expected_recovery,improvement_trajectory,recent_trend_slope
1,BELLACOSE,Unknown,50.0,False,78.0,True,78.0,Unknown,FRESHENING,201.0,,,,,,,,,
1,CAPITAL GAL,Historical_bouncer,66.66666666666666,True,102.0,True,102.0,2-3,FRESHENING,217.0,20.0,50.0,Strong,15.0,62.5,True,15.0,Ascending,3.9999999999999933
1,CAROL T,Historical_bouncer,100.0,True,48.0,False,,2-3,IMPROVING,41.0,25.0,100.0,Strong,14.0,51.5,False,,Ascending,0.8999999999999961
1,FIRST CLASS CAT,Historical_bouncer,100.0,True,,False,,2-3,IMPROVING,69.0,9.0,100.0,Strong,9.0,36.0,False,,Ascending,0.9999999999999891
1,GEOPOLITICS,Historical_bouncer,50.0,False,104.0,False,,2-3,RECOVERING,196.0,9.0,0.0,Strong,6.0,36.0,True,6.0,Ascending,0.9999999999999993
1,PRINCESS MISCHIEF,Historical_bouncer,100.0,True,,False,,At_peak,ERRATIC,19.0,8.0,100.0,Unproven,,,False,,Stable,0.19999999999999366
1,SASSY SHENANIGANS,Low,100.0,True,58.0,True,58.0,Unknown,FRESHENING,19.0,,,Unproven,,,False,,,
1,SCARLET'S DREAM,Historical_bouncer,100.0,True,47.0,False,,2-3,IMPROVING,12.0,25.0,33.33333333333333,Strong,25.5,82.0,False,,Ascending,3.299999999999991
2,ALL NIGHT REVIVAL,Low,100.0,True,,True,160.0,Unknown,FRESHENING,76.0,,,Unproven,,,False,,,
2,SWEET MACKENZIE,Unknown,50.0,False,,False,,Unknown,STABLE,12.0,,,,,,,,,
3,ANTARES,Low,100.0,True,79.0,True,79.0,Past_peak,FRESHENING,278.0,,0.0,Strong,5.5,37.0,False,,Declining,-2.6000000000000125
3,BONUS MOVE,Historical_bouncer,66.66666666666666,True,64.0,False,,At_peak,ERRATIC,27.0,7.0,100.0,Unproven,,,False,,Stable,-0.20000000000000492
3,FINAL VERDICT,Low,50.0,False,169.0,True,169.0,At_peak,FRESHENING,33.0,,100.0,Strong,13.0,169.0,True,13.0,Stable,0.29999999999998944
3,FORE HARP,Historical_bouncer,66.66666666666666,True,168.0,False,,2-3,IMPROVING,20.0,15.0,33.33333333333333,Strong,15.0,77.0,False,,Ascending,1.9999999999999893
3,LASER SHARP,Low,75.0,True,189.0,False,,At_peak,ERRATIC,22.0,,100.0,Unproven,,,False,,Stable,-2.0624460956456913e-14
3,REFUEL,Low,100.0,True,,True,361.0,Developing,FRESHENING,40.0,,,Strong,15.0,361.0,True,15.0,Unknown,
3,RUN CURTIS RUN,Low,100.0,True,150.0,True,150.0,Past_peak,FRESHENING,58.0,,0.0,Strong,7.0,34.0,False,,Declining,-2.200000000000006
3,STEP FORWARD,Historical_bouncer,100.0,True,,False,,2-3,RECOVERING,251.0,14.0,33.33333333333333,Strong,14.0,259.0,True,14.0,Ascending,3.0999999999999948
3,URBAN LEGEND,Historical_bouncer,33.33333333333333,False,105.0,False,,Past_peak,DECLINING,37.0,6.0,100.0,Unproven,,,False,,Declining,-0.6000000000000103
3,WHAT'S UP BRO,Historical_bouncer,75.0,True,225.0,False,,Past_peak,DECLINING,44.0,6.0,50.0,Strong,12.5,122.0,False,,Declining,-1.0000000000000089
3,WORKS FOR ME,Historical_bouncer,80.0,True,176.0,True,176.0,At_peak,FRESHENING,33.0,11.0,100.0,Strong,12.0,68.0,False,,Stable,0.2999999999999856
4,ARMY GAL,Historical_bouncer,100.0,True,,True,50.0,Unknown,FRESHENING,40.0,22.0,,Strong,10.0,50.0,True,10.0,,
