race,horse_name,post_position,composite_form_score,form_rank,form_cycle_state,form_edge,beaten_time_trend,avg_position_gain,strong_late_kick,bounce_risk
1,CROMWELL,2,57.4573,1.0,STABLE,Consistent_closer,0.1974,2.75,True,Historical_bouncer
1,KNICKS CODE,1,55.0,2.0,,Fresh_and_ready,,,,
1,BANDED HUMOR,5,55.0,2.0,,Fresh_and_ready,,,,
1,SANSONE,8,55.0,2.0,,Fresh_and_ready,,,,
1,KNICKS GATE,10,55.0,2.0,,Fresh_and_ready,,,,
1,COFFEE TALK,11,55.0,2.0,,Fresh_and_ready,,,,
1,CHILLAX,12,55.0,2.0,,Fresh_and_ready,,,,
1,BOURBON SOCIETY,9,53.58586493506494,8.0,FRESHENING,Fresh_and_ready,-0.017403030303030313,0.3333333333333333,False,Low
1,FOUNTAIN LAKE,3,53.379999999999995,9.0,FRESHENING,Fresh_and_ready,-0.71,1.4,False,Low
1,STURDY,4,52.63547619047619,10.0,FRESHENING,Fresh_and_ready,-0.4471428571428571,3.5,False,Low
1,KICKING CLEAR,6,52.08,11.0,FRESHENING,"Often_troubled, Fresh_and_ready",-1.135,0.8,False,Historical_bouncer
1,MONEY MAN,7,51.25,12.0,STABLE,Consistent_closer,-2.5,1.6666666666666667,True,Unknown
2,LEMON MUFFIN,8,60.92790043290044,1.0,FRESHENING,"Consistent_closer, Fresh_and_ready",-0.036969696969696965,3.9,True,Low
2,BARBRATINA,11,59.26269841269841,2.0,FRESHENING,"Sharp_improvement, Consistent_closer, Fresh_and_ready",1.925,3.857142857142857,True,Low
2,IZZY'S MONSTER,3,57.641666666666666,3.0,FRESHENING,Fresh_and_ready,-0.025,2.2,False,Low
2,DON'T BRING CRAZY,6,56.72084242424242,4.0,FRESHENING,Fresh_and_ready,0.014587878787878794,-1.3,False,Low
2,TAPIT QUICK,5,55.4,5.0,FRESHENING,Fresh_and_ready,-0.0,2.2,False,Low
2,HOME GAME,4,53.03357142857143,6.0,FRESHENING,"Often_troubled, Fresh_and_ready",-0.26000000000000006,-1.2857142857142858,False,Historical_bouncer
2,NORMANDY QUEEN,7,52.96818181818182,7.0,FRESHENING,None,-0.540909090909091,0.4,False,Low
2,DESERT RHAPSODY,9,52.47077561327561,8.0,FRESHENING,Fresh_and_ready,0.2944155844155844,-0.25,False,Historical_bouncer
2,GRACE ON GRACE,2,52.43404761904762,9.0,FRESHENING,None,0.107012987012987,0.1,False,Historical_bouncer
2,SECRET STATEMENT,1,51.23277777777778,10.0,FRESHENING,None,-0.05090909090909092,0.5,False,Historical_bouncer
2,GENEROUS LOVER,10,38.62863636363636,11.0,DECLINING,None,-0.4981818181818182,0.5,False,Historical_bouncer
3,YINZER,8,57.980000000000004,1.0,FRESHENING,"Sharp_improvement, Often_troubled",3.0150000000000006,-2.4,False,Low
3,STRUMMIN,10,55.028120490620495,2.0,STABLE,Consistent_closer,0.32516233766233765,1.25,True,Historical_bouncer
3,VALENTINIAN,3,55.0,3.0,,Fresh_and_ready,,,,
3,GOAL ORIENTED,5,55.0,3.0,,Fresh_and_ready,,,,
3,TIZ SECURE,9,55.0,3.0,,Fresh_and_ready,,,,
3,SORCERER'S SILVER,11,55.0,3.0,,Fresh_and_ready,,,,
3,RAPTURE,6,54.25,7.0,FRESHENING,Fresh_and_ready,0.0,0.6666666666666666,False,Unknown
3,BRACKET BUSTER,2,53.79090909090909,8.0,FRESHENING,Fresh_and_ready,-0.054545454545454494,0.2,False,Low
3,VAMOS CARLITOS,1,52.699999999999996,9.0,STABLE,Sharp_improvement,0.5250000000000001,2.2,False,Low
3,HYPNUS,7,51.1125,10.0,STABLE,None,-0.09999999999999998,1.75,False,Low
3,RACING DRIVER,4,50.75,11.0,STABLE,None,-0.375,2.0,False,Low
4,LIBERAL ARTS,9,62.99777777777778,1.0,FRESHENING,"Consistent_closer, Fresh_and_ready",0.05999999999999998,3.8,True,Historical_bouncer
4,CHIRON,8,60.583333333333336,2.0,FRESHENING,Fresh_and_ready,0.20238095238095238,-0.5,False,Historical_bouncer
4,IMPLEMENTATION,10,58.98795093795094,3.0,FRESHENING,Fresh_and_ready,0.06282467532467532,3.7,False,Low
4,ACCRETIVE,3,58.459567099567096,4.0,FRESHENING,Fresh_and_ready,0.00954545454545454,1.5,False,Historical_bouncer
4,QUALITY CHIC,14,57.28626984126984,5.0,FRESHENING,Fresh_and_ready,-0.019166666666666658,1.2,False,Low
4,KEEN CAT,5,56.398387012987016,6.0,FRESHENING,None,-0.15843636363636368,2.3,False,Historical_bouncer
4,NEW KING,13,55.87383116883117,7.0,FRESHENING,Fresh_and_ready,0.39227272727272733,1.0,False,Historical_bouncer
4,ASHCROFT,1,54.610317460317454,8.0,FRESHENING,Fresh_and_ready,-0.006547619047619062,0.4,False,Historical_bouncer
4,OSBOURNE,2,52.09155844155845,9.0,FRESHENING,Fresh_and_ready,0.15411255411255412,1.1,False,Historical_bouncer
4,INVEIGLED,11,51.407647907647906,10.0,FRESHENING,None,0.1735930735930736,-0.1,False,Historical_bouncer
4,PATRIOT SPIRIT,12,51.3775974025974,11.0,FRESHENING,Fresh_and_ready,-0.12370129870129871,0.0,False,Historical_bouncer
4,KUPUNA,6,50.80119047619048,12.0,FRESHENING,Fresh_and_ready,-0.1410714285714286,1.0,False,Low
4,CASTLE CHAOS,4,49.69713333333333,13.0,FRESHENING,Fresh_and_ready,-0.0681,1.5,False,Low
4,BEST ACTOR,7,47.40992063492064,14.0,FRESHENING,None,0.13392857142857145,-0.3,False,Historical_bouncer
5,VENENCIA,1,67.54964646464646,1.0,FRESHENING,"Consistent_closer, Fresh_and_ready",-0.02,6.0,True,Low
5,FIVE TOWNS,5,61.60411111111111,2.0,FRESHENING,"Consistent_closer, Fresh_and_ready",-0.030285714285714287,3.142857142857143,True,Low
5,TAX IMPLICATIONS,7,60.62209956709957,3.0,FRESHENING,"Consistent_closer, Fresh_and_ready",0.019166666666666658,2.8,True,Historical_bouncer
