race,horse_name,earnings_class_score,hidden_class_score,overall_class_rating,hidden_vs_earnings_diff
11,REDISTRICTING,37.427142857142854,76.47187232336749,41.033775982724535,39.04472946622464
5,TAX IMPLICATIONS,37.69670485099055,76.48662681868103,47.40950522855006,38.78992196769048
2,DON'T BRING CRAZY,31.224201596806388,69.78950693476965,53.737742798993764,38.56530533796326
7,MISCHIEVOUS ROGUE,37.88620748814209,70.44156129705368,41.93126175878004,32.55535380891159
9,DISCREET DANCER,30.814381720430106,61.86226627288662,37.42515165605953,31.047884552456516
13,DAPPER MOON,37.62750673527496,67.93732528673928,49.81357561689552,30.309818551464318
9,GIOCOSO,37.91101952172088,67.00081235687419,38.41020249183666,29.08979283515331
2,DESERT RHAPSODY,29.80905994550409,58.62867025794667,36.002678052860844,28.819610312442585
5,SERENE SERAPH,46.78333333333333,74.9381714097592,47.28395142292776,28.154838076425875
8,JUST STEEL,44.965373965517244,72.54279611046447,45.7472571176221,27.57742214494722
1,STURDY,29.474659863945583,57.03640367168485,44.12451804028097,27.56174380773927
4,NEW KING,37.48914835164835,64.91582091625446,41.3448630331181,27.426672564606108
4,KUPUNA,44.65438531999398,72.05638649503169,59.21138934250679,27.40200117503771
4,BEST ACTOR,45.1530619235621,72.05377010484497,61.935008897056434,26.900708181282873
9,HAMMERHEAD,38.33646450986512,65.17242114685963,41.80313537349719,26.835956636994517
4,PATRIOT SPIRIT,44.8939076187948,71.38755408076177,56.61852465268619,26.493646461966975
7,UNCONQUERABLE KEEN,38.11549806576402,64.52961538461538,44.01085874497842,26.41411731885136
2,BARBRATINA,37.492254313918934,63.41234670908524,39.64521845398909,25.920092395166307
13,OPTICAL,29.766666666666666,54.937804367037096,31.126341310111126,25.17113770037043
6,INNOVATOR,44.82584567239431,69.58414866500591,42.29687515207921,24.758302992611604
14,LAMBO,37.13411764705882,61.456193381717966,52.64721095569186,24.322075734659144
4,QUALITY CHIC,45.62911732830249,69.31444841719002,53.827437322893125,23.68533108888753
13,SHAN,30.55482000414194,53.783846153846156,34.88482284801772,23.229026149704215
13,HAUNTED FLAME,31.063647454774923,54.15534076341166,41.47524358367221,23.091693308636735
3,YINZER,38.55275109170306,61.326935551538725,36.996818656727996,22.774184459835666
14,SHALLUS,27.8688718267863,50.1286719259472,45.079593899837995,22.259800099160902
7,RUN CARSON,45.07094369111233,67.14214988533452,51.674569626600906,22.071206194222185
4,ASHCROFT,30.57028088190879,52.573461538461544,34.52866485839742,22.003180656552754
11,HIGHWAY ROBBER,49.37,70.46570337372043,50.85621101211613,21.095703373720433
2,GENEROUS LOVER,48.075,69.06738192658827,53.603964577976484,20.992381926588266
4,LIBERAL ARTS,45.21955517364521,65.61538461538461,52.53341521275573,20.3958294417394
4,ACCRETIVE,46.612276982020404,66.63383016686554,52.215673691968846,20.021553184845132
5,VENENCIA,44.33147732640529,64.07692307692308,46.6722417199593,19.74544575051779
10,AWESOME TREAT,37.63250557758706,57.34615384615385,37.88847366376034,19.713648268566786
9,NEW CENTURY,44.92098891904741,64.46153846153847,47.05290655203288,19.540549542491057
2,GRACE ON GRACE,39.215939393939394,58.697084679715445,40.256298131187364,19.48114528577605
2,LEMON MUFFIN,44.07912659652508,63.25006315142567,51.31062591386399,19.170936554900592
10,GRAND JOB,50.72309529642332,69.62185661960794,52.46194986927287,18.898761323184623
13,FULLY VOLATILE,25.484078125,44.26390912392287,32.24700789342686,18.779830998922872
8,HERE MI SONG,44.957916407694405,63.69230769230769,46.83875469115479,18.734391284613288
13,MULTIVERSE,40.53,58.625466373294465,47.07613991198834,18.095466373294464
5,FIVE TOWNS,45.04191390501208,62.86653846153846,50.37882279571697,17.82462455652638
11,CAMEO PERFORMANCE,51.942372471044045,69.70634429108357,49.285970899294895,17.763971820039522
10,MISS SUSAN B,33.92561818181818,51.584353020821766,40.74183408806471,17.658734839003586
4,CASTLE CHAOS,44.223086196503914,61.79538461538462,54.68900417304215,17.572298418880706
9,SPIRIT RAGS,32.578384615384614,49.957561789938396,33.39754161390459,17.37917717455378
6,MACHO MUSIC,52.25182973403011,69.29803256005358,49.30273314832962,17.046202826023475
1,FOUNTAIN LAKE,32.407666666666664,49.04761690579412,46.79773507173823,16.639950239127458
4,OSBOURNE,44.451601461736885,60.652307692307694,55.69891296547391,16.20070623057081
10,BENEDETTA,58.59583850042927,74.63801712406053,56.25953246241133,16.04217862363126
14,MAINSTREAM,39.75,55.55230073028228,52.053190219084684,15.802300730282283
1,KICKING CLEAR,28.36126498422713,44.07692307692308,43.485646165979134,15.71565809269595
1,CROMWELL,39.81082638061184,55.45663867016621,52.051863472325195,15.645812289554364
7,AMBIVALENT,45.14474357759029,60.130320527877636,48.354230768278924,14.985576950287346
6,GATE TO WIRE,58.895050000000005,73.14160260253001,49.695253280759005,14.24655260253001
11,GOLD PHOENIX,55.803312720848055,69.9804406437018,53.60562291749216,14.177127922853742
9,GOLDEN AFTERNOON,51.37946838902,65.0749324411612,47.643240507407356,13.695464052141197
