race,post_position,morn_line_odds_if_available,horse_name,distance_win_pct,distance_itm_pct,distance_earnings_per_start,track_win_pct,track_itm_pct,track_earnings_per_start,turf_win_pct,turf_itm_pct,turf_earnings_per_start,mud_win_pct,mud_itm_pct,mud_earnings_per_start,current_year_win_pct,current_year_itm_pct,current_year_earnings_per_start,previous_year_win_pct,previous_year_itm_pct,previous_year_earnings_per_start,lifetime_win_pct,lifetime_itm_pct,lifetime_earnings_per_start
1,1,1.60,EFFICACY,,,,,,,0.0,0.0,975.0,,,,0.0,0.0,975.0,,,,0.0,0.0,975.0
1,2,20.00,KEVIN OF BLACKROCK,,,,,,,,,,0.0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,300.0,0.0,0.0,300.0
1,3,12.00,DOOR GUNNER JOE,,,,,,,,,,,,,0.0,0.0,125.0,,,,0.0,0.0,125.0
1,4,20.00,ROYAL FLUSH HEARTS,,,,,,,,,,,,,0.0,0.0,300.0,,,,0.0,0.0,300.0
1,5,10.00,BAND TOUR,0.0,0.0,520.0,,,,0.0,0.2857142857142857,1422.857142857143,0.0,0.0,750.0,0.0,0.18181818181818182,1052.3636363636363,0.0,0.125,600.375,0.0,0.13636363636363635,770.4090909090909
1,6,1.20,SKULL HONOR,,,,,,,0.0,0.0,280.0,,,,0.0,0.6,2586.0,0.0,0.75,2650.0,0.0,0.6666666666666666,2614.4444444444443
1,7,2.00,MYLUCKEYVALENTINE,,,,,,,0.0,0.0,300.0,0.0,0.0,1500.0,0.0,0.0,1033.3333333333333,0.0,0.5,3945.0,0.0,0.2,2198.0
1,8,8.00,FORCED ATTITUDE,,,,,,,0.0,0.0,1000.0,,,,0.0,0.0,1000.0,,,,0.0,0.0,1000.0
1,9,30.00,BLACKTHORNE BRUSCA,,,,,,,0.0,0.0,1000.0,0.0,0.0,300.0,0.0,0.0,650.0,,,,0.0,0.0,650.0
1,10,6.00,IMPERIAL SPY,,,,,,,,,,0.0,1.0,2530.0,0.0,0.5,1865.0,0.0,0.25,1851.25,0.0,0.375,1858.125
1,11,20.00,MYCROFT,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,315.0,,,,0.0,0.0,315.0
1,12,15.00,ON SECRET SERVICE,0.0,0.0,500.0,,,,0.0,0.0,500.0,0.0,0.0,440.0,0.0,0.0,146.66666666666666,0.0,0.0,1165.0,0.0,0.0,728.5714285714286
