race,horse_name,post_position,morn_line_odds_if_available,final_rating,overall_rank,integrated_fitness_score,form_cycle_state,pace_advantage,class_move_projection,key_angles,prediction_confidence
1,M J'S YOSHIDA,7,15.0,173.7902330179943,1.0,57.60185011960326,,Must_close_into_slow_pace,Likely_success,"Top_rated, Value_play",75
1,MUNNINGS EXPRESS,6,2.5,107.30475674113772,2.0,58.80643916402984,,Must_close_into_slow_pace,Likely_success,None,75
1,GEOPOLITICS,5,3.0,72.47753774082139,3.0,51.632490828184366,RECOVERING,Must_close_into_slow_pace,Likely_success,None,75
1,SASSY SHENANIGANS,4,5.0,69.69888313262567,4.0,55.07138060145948,FRESHENING,Must_close_into_slow_pace,Likely_success,None,75
1,PRINCESS MISCHIEF,8,8.0,57.909829792323535,5.0,50.464534728703235,ERRATIC,Must_close_into_slow_pace,Questionable,None,75
1,FIRST CLASS CAT,9,12.0,56.17715595678251,6.0,48.897142038323466,IMPROVING,Must_close_into_slow_pace,Questionable,None,90
1,BELLACOSE,10,6.0,50.399555117105244,7.0,49.31075645028676,FRESHENING,Must_close_into_slow_pace,Questionable,None,75
1,CAROL T,2,20.0,50.35698909185484,8.0,45.7409459677552,IMPROVING,Must_close_into_slow_pace,Should_dominate,Class_drop_ready,90
1,SCARLET'S DREAM,1,15.0,49.43097253356624,9.0,38.6837032562014,IMPROVING,Must_close_into_slow_pace,Appropriate_level,None,90
1,CAPITAL GAL,3,12.0,49.25421634988428,10.0,40.12129634694372,FRESHENING,Must_close_into_slow_pace,Appropriate_level,None,75
2,NUMBERED,6,1.6,112.29016087677105,1.0,58.478812167272984,,Even_chance,Appropriate_level,Top_rated,75
2,CARA'S CHIANTI,7,15.0,109.32981477772341,2.0,55.9531293922543,,Even_chance,Appropriate_level,Value_play,75
2,ALL NIGHT REVIVAL,4,12.0,94.48845629119823,3.0,51.88014983138581,FRESHENING,Even_chance,Appropriate_level,Value_play,75
2,SURPRISE,5,6.0,94.12126948832667,4.0,58.4035058940866,,Even_chance,Appropriate_level,None,75
2,ABSOLUTE HONOR,8,15.0,85.66596907309918,5.0,52.521846736596736,,Even_chance,Appropriate_level,None,75
2,SWEET MACKENZIE,3,50.0,81.10101757825304,6.0,46.73416783194555,STABLE,Even_chance,Appropriate_level,None,85
2,SOLO VINCERE,11,30.0,67.84451162038772,7.0,50.990896198306295,,Even_chance,Appropriate_level,None,75
2,RAGTIME,1,12.0,54.128958048945925,8.0,54.7674148018648,,,,None,70
2,RESURGE,12,4.0,54.072699831454294,9.0,55.08699522144522,,,,None,70
2,ENDORSE,10,1.6,53.943546498114806,10.0,55.18004295866073,,,,None,70
2,FILLY FREEDOM,2,12.0,50.947584802287714,11.0,52.55353917871539,,,,None,70
2,LOST HORIZON,9,8.0,50.649103435748124,12.0,51.911012937062935,,,,None,70
2,MINT TEA,13,30.0,50.298566315478375,13.0,51.56020569248819,,,,None,70
3,LASER SHARP,11,4.5,69.57990463152396,1.0,56.571842657254074,ERRATIC,Even_chance,Likely_success,Top_rated,75
3,FINAL VERDICT,8,4.0,60.2072535640692,2.0,54.11214146697513,FRESHENING,Even_chance,Questionable,None,75
3,RUN CURTIS RUN,4,6.0,58.29560931652247,3.0,55.235505488014084,FRESHENING,Even_chance,Questionable,None,75
3,WHAT'S UP BRO,10,3.0,58.2395336289572,4.0,47.94602518744029,DECLINING,Even_chance,Questionable,None,75
3,URBAN LEGEND,5,5.0,58.02095632193791,5.0,45.762297054861925,DECLINING,Even_chance,Questionable,None,75
3,REFUEL,7,10.0,57.77638409382198,6.0,52.93082369587617,FRESHENING,Even_chance,Questionable,None,75
3,BONUS MOVE,6,12.0,57.023862544207304,7.0,44.39540778691466,ERRATIC,Even_chance,Questionable,None,75
3,WORKS FOR ME,3,1.6,55.0245072455163,8.0,53.53173974369059,FRESHENING,Even_chance,Appropriate_level,None,75
3,ANTARES,2,15.0,54.434286221278036,9.0,48.952288656677524,FRESHENING,Even_chance,Questionable,None,75
3,FORE HARP,1,10.0,51.30613251791095,10.0,46.094328647380195,IMPROVING,Even_chance,Appropriate_level,None,90
3,STEP FORWARD,9,15.0,46.236589179478074,11.0,42.81903699032919,RECOVERING,Even_chance,Questionable,None,75
4,VEHEMENTE,7,3.0,69.37189578859756,1.0,51.94646938451778,DECLINING,Must_close_into_slow_pace,Likely_success,Top_rated,75
4,SHORT SHIFT,8,4.0,63.544663695058624,2.0,48.877610283478575,DECLINING,Must_close_into_slow_pace,Likely_success,None,75
4,JACKSON'S DIXIE,4,10.0,62.42187203915224,3.0,52.4220949326415,IMPROVING,Must_close_into_slow_pace,Questionable,None,90
4,NOLITA,1,8.0,58.19540704833684,4.0,51.73309479618656,STABLE,Must_close_into_slow_pace,Questionable,None,85
4,EMBRACEABLE GAL,2,6.0,54.76862216171713,5.0,51.232155108512664,DECLINING,Must_close_into_slow_pace,Appropriate_level,None,75
4,CLOVER STREET,9,15.0,54.692054025879095,6.0,52.469439985573025,RECOVERING,Must_close_into_slow_pace,Questionable,None,75
4,ECHO IN ETERNITY,3,12.0,52.56837775282711,7.0,46.545546982391954,DECLINING,Must_close_into_slow_pace,Questionable,None,75
4,ARMY GAL,5,2.5,49.907370696675066,8.0,39.26230642888464,FRESHENING,Must_close_into_slow_pace,Questionable,None,75
4,KRYSTALHEIR,6,50.0,49.50974764191101,9.0,49.14118229687986,RECOVERING,Must_close_into_slow_pace,Questionable,None,75
4,THIRTEEN RED FLAGS,10,30.0,43.0535190007605,10.0,39.05507739090068,DECLINING,Must_close_into_slow_pace,Questionable,None,75
5,STRATEGIC FOCUS,6,2.0,118.72360234953346,1.0,63.07106710009715,,Even_chance,Likely_success,Top_rated,75
5,CAPITOL HILL,9,15.0,67.63301814396927,2.0,54.38062103637252,STABLE,Even_chance,Likely_success,Value_play,85
5,COSTA TERRA,4,20.0,64.25332130520815,3.0,56.44210021571941,IMPROVING,Even_chance,Appropriate_level,Value_play,90
5,WAITLIST,5,5.0,62.789303090779676,4.0,54.42323358173234,DECLINING,Even_chance,Questionable,None,75
5,MALARCHUK,2,4.0,62.04394953107425,5.0,43.482739075077625,IMPROVING,Even_chance,Likely_success,None,90
5,FRIZZANTE,8,12.0,61.69978501029711,6.0,49.57587354201742,IMPROVING,Even_chance,Questionable,None,90
