race,horse_name,post_position,run_style,speed_points,pace_advantage_score,pace_rank,projected_1st_call_position,fade_risk,energy_efficiency,pace_scenario,pace_shape
1,CROMWELL,2,S  ,2,82.54545454545455,1.0,8,Low,95.15151515151516,Lone Speed,Wire-to-Wire
1,FOUNTAIN LAKE,3,P  ,2,82.54545454545455,1.0,9,Low,95.15151515151516,Lone Speed,Wire-to-Wire
1,STURDY,4,S  ,2,82.54545454545455,1.0,9,Low,95.15151515151516,Lone Speed,Wire-to-Wire
1,KICKING CLEAR,6,NA ,0,82.54545454545455,1.0,9,Low,95.15151515151516,Lone Speed,Wire-to-Wire
1,MONEY MAN,7,NA ,0,82.54545454545455,1.0,9,Low,95.15151515151516,Lone Speed,Wire-to-Wire
1,SANSONE,8,P  ,4,82.54545454545455,1.0,8,Low,95.15151515151516,Lone Speed,Wire-to-Wire
1,KNICKS GATE,10,NA ,1,82.54545454545455,1.0,7,Low,95.15151515151516,Lone Speed,Wire-to-Wire
1,COFFEE TALK,11,P  ,2,82.54545454545455,1.0,7,Low,95.15151515151516,Lone Speed,Wire-to-Wire
1,CHILLAX,12,P  ,4,82.54545454545455,1.0,7,Low,95.15151515151516,Lone Speed,Wire-to-Wire
1,BOURBON SOCIETY,9,E/P,5,78.61538461538461,10.0,2,Low,88.71794871794872,Lone Speed,Wire-to-Wire
2,DON'T BRING CRAZY,6,E  ,7,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
2,LEMON MUFFIN,8,P  ,3,82.54545454545455,1.0,6,Low,95.15151515151516,Slow,Slow-Slow-Sprint
2,GENEROUS LOVER,10,E  ,8,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
2,BARBRATINA,11,S  ,4,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
2,SECRET STATEMENT,1,E/P,6,81.66666666666666,5.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
2,IZZY'S MONSTER,3,E/P,3,81.66666666666666,5.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
2,DESERT RHAPSODY,9,E/P,4,81.66666666666666,5.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
2,GRACE ON GRACE,2,P  ,6,79.66666666666666,8.0,4,Low,88.88888888888889,Slow,Slow-Slow-Sprint
2,NORMANDY QUEEN,7,E  ,8,79.66666666666666,8.0,3,Low,88.88888888888889,Slow,Slow-Slow-Sprint
2,HOME GAME,4,E/P,7,78.61538461538461,10.0,2,Low,88.71794871794872,Slow,Slow-Slow-Sprint
2,TAPIT QUICK,5,E/P,8,78.61538461538461,10.0,1,Low,88.71794871794872,Slow,Slow-Slow-Sprint
3,VAMOS CARLITOS,1,S  ,3,82.54545454545455,1.0,9,Low,95.15151515151516,Slow,Slow-Slow-Sprint
3,VALENTINIAN,3,P  ,4,82.54545454545455,1.0,8,Low,95.15151515151516,Slow,Slow-Slow-Sprint
3,GOAL ORIENTED,5,S  ,4,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
3,HYPNUS,7,P  ,2,82.54545454545455,1.0,6,Low,95.15151515151516,Slow,Slow-Slow-Sprint
3,STRUMMIN,10,S  ,0,82.54545454545455,1.0,9,Low,95.15151515151516,Slow,Slow-Slow-Sprint
3,BRACKET BUSTER,2,E/P,6,81.66666666666666,6.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
3,RACING DRIVER,4,E/P,4,81.66666666666666,6.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
3,RAPTURE,6,E/P,4,81.66666666666666,6.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
3,YINZER,8,E  ,8,79.66666666666666,9.0,3,Low,88.88888888888889,Slow,Slow-Slow-Sprint
3,TIZ SECURE,9,P  ,5,79.66666666666666,9.0,4,Low,88.88888888888889,Slow,Slow-Slow-Sprint
3,SORCERER'S SILVER,11,E  ,6,79.66666666666666,9.0,4,Low,88.88888888888889,Slow,Slow-Slow-Sprint
4,CASTLE CHAOS,4,P  ,4,82.54545454545455,1.0,7,Low,95.15151515151516,Honest,Moderate-Fast-Fast
4,KUPUNA,6,P  ,3,82.54545454545455,1.0,6,Low,95.15151515151516,Honest,Moderate-Fast-Fast
4,LIBERAL ARTS,9,S  ,3,82.54545454545455,1.0,7,Low,95.15151515151516,Honest,Moderate-Fast-Fast
4,IMPLEMENTATION,10,S  ,3,82.54545454545455,1.0,6,Low,95.15151515151516,Honest,Moderate-Fast-Fast
4,NEW KING,13,P  ,5,82.54545454545455,1.0,6,Low,95.15151515151516,Honest,Moderate-Fast-Fast
4,QUALITY CHIC,14,P  ,0,82.54545454545455,1.0,8,Low,95.15151515151516,Honest,Moderate-Fast-Fast
4,OSBOURNE,2,E  ,8,79.66666666666666,7.0,3,Low,88.88888888888889,Honest,Moderate-Fast-Fast
4,BEST ACTOR,7,E  ,5,79.66666666666666,7.0,3,Low,88.88888888888889,Honest,Moderate-Fast-Fast
4,PATRIOT SPIRIT,12,E  ,7,79.66666666666666,7.0,3,Low,88.88888888888889,Honest,Moderate-Fast-Fast
4,ASHCROFT,1,E/P,7,78.61538461538461,10.0,2,Low,88.71794871794872,Honest,Moderate-Fast-Fast
4,ACCRETIVE,3,E/P,4,78.61538461538461,10.0,2,Low,88.71794871794872,Honest,Moderate-Fast-Fast
4,KEEN CAT,5,E/P,6,78.61538461538461,10.0,2,Low,88.71794871794872,Honest,Moderate-Fast-Fast
4,CHIRON,8,E/P,4,78.61538461538461,10.0,2,Low,88.71794871794872,Honest,Moderate-Fast-Fast
4,INVEIGLED,11,E/P,5,78.61538461538461,10.0,2,Low,88.71794871794872,Honest,Moderate-Fast-Fast
5,VENENCIA,1,S  ,0,82.54545454545455,1.0,9,Low,95.15151515151516,Slow,Slow-Slow-Sprint
5,PIN UP BETTY,3,P  ,1,82.54545454545455,1.0,8,Low,95.15151515151516,Slow,Slow-Slow-Sprint
5,SERENE SERAPH,4,S  ,0,82.54545454545455,1.0,8,Low,95.15151515151516,Slow,Slow-Slow-Sprint
5,FIVE TOWNS,5,P  ,4,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
5,SACRED WISH,6,P  ,4,82.54545454545455,1.0,7,Low,95.15151515151516,Slow,Slow-Slow-Sprint
5,TAX IMPLICATIONS,7,P  ,0,82.54545454545455,1.0,7,Low,95.15151515151516,Slow,Slow-Slow-Sprint
5,POOLSIDE WITH SLIM,8,P  ,1,82.54545454545455,1.0,7,Low,95.15151515151516,Slow,Slow-Slow-Sprint
5,SIMPLY IN FRONT,9,E/P,4,81.66666666666666,8.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
5,MOVIN' ON UP,2,E/P,6,78.61538461538461,9.0,2,Low,88.71794871794872,Slow,Slow-Slow-Sprint
5,SPECIAL WAN,10,E/P,3,78.61538461538461,9.0,2,Low,88.71794871794872,Slow,Slow-Slow-Sprint
6,GATE TO WIRE,5,P  ,6,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
6,PERFECT FORCE,9,P  ,6,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
6,BUILT,2,E/P,4,81.66666666666666,3.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
6,CALIFORNIA BURRITO,3,E/P,6,81.66666666666666,3.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
6,MADAKET ROAD,1,E  ,6,79.66666666666666,5.0,3,Low,88.88888888888889,Slow,Slow-Slow-Sprint
6,MACHO MUSIC,7,E  ,7,79.66666666666666,5.0,4,Low,88.88888888888889,Slow,Slow-Slow-Sprint
6,INNOVATOR,8,E  ,7,79.66666666666666,5.0,4,Low,88.88888888888889,Slow,Slow-Slow-Sprint
6,SMOKEN WICKED,4,E/P,6,78.61538461538461,8.0,2,Low,88.71794871794872,Slow,Slow-Slow-Sprint
6,GAMING,6,E/P,5,78.61538461538461,8.0,2,Low,88.71794871794872,Slow,Slow-Slow-Sprint
7,AMBIVALENT,2,P  ,0,82.54545454545455,1.0,8,Low,95.15151515151516,Honest,Even-Even-Even
7,THINK BIG,7,P  ,1,82.54545454545455,1.0,8,Low,95.15151515151516,Honest,Even-Even-Even
7,EAMONN,11,S  ,0,82.54545454545455,1.0,6,Low,95.15151515151516,Honest,Even-Even-Even
7,COPPOLA,1,E  ,8,79.66666666666666,4.0,4,Low,88.88888888888889,Honest,Even-Even-Even
7,ROGUE LIGHTNING,8,E  ,6,79.66666666666666,4.0,4,Low,88.88888888888889,Honest,Even-Even-Even
7,MISCHIEVOUS ROGUE,12,P  ,3,79.66666666666666,4.0,4,Low,88.88888888888889,Honest,Even-Even-Even
7,NOBALS,3,E/P,5,78.61538461538461,7.0,1,Low,88.71794871794872,Honest,Even-Even-Even
7,ONE TIMER,4,E/P,1,78.61538461538461,7.0,2,Low,88.71794871794872,Honest,Even-Even-Even
7,ARREST ME RED,5,E/P,5,78.61538461538461,7.0,1,Low,88.71794871794872,Honest,Even-Even-Even
7,RUN CARSON,6,E/P,3,78.61538461538461,7.0,2,Low,88.71794871794872,Honest,Even-Even-Even
7,BOSS SULLY,9,E/P,6,78.61538461538461,7.0,1,Low,88.71794871794872,Honest,Even-Even-Even
7,UNCONQUERABLE KEEN,10,E/P,3,78.61538461538461,7.0,2,Low,88.71794871794872,Honest,Even-Even-Even
8,BOOK'EM DANNO,3,S  ,2,82.54545454545455,1.0,5,Low,95.15151515151516,Honest,Even-Even-Even
8,EXTRA ANEJO,6,P  ,1,82.54545454545455,1.0,5,Low,95.15151515151516,Honest,Even-Even-Even
8,MINDFRAME,7,P  ,1,82.54545454545455,1.0,6,Low,95.15151515151516,Honest,Even-Even-Even
8,HOIST THE GOLD,8,P  ,3,82.54545454545455,1.0,5,Low,95.15151515151516,Honest,Even-Even-Even
8,BANISHING,2,E/P,4,81.66666666666666,5.0,3,Low,95.55555555555556,Honest,Even-Even-Even
8,TEJANO TWIST,5,S  ,0,80.33333333333333,6.0,8,Low,91.1111111111111,Honest,Even-Even-Even
8,JUST STEEL,1,E/P,3,78.61538461538461,7.0,2,Low,88.71794871794872,Honest,Even-Even-Even
8,GIANT MISCHIEF,4,E/P,7,78.61538461538461,7.0,2,Low,88.71794871794872,Honest,Even-Even-Even
8,HERE MI SONG,9,E/P,3,78.61538461538461,7.0,2,Low,88.71794871794872,Honest,Even-Even-Even
8,NYSOS,10,E/P,4,78.61538461538461,7.0,2,Low,88.71794871794872,Honest,Even-Even-Even
8,MULLIKIN,11,E/P,4,78.61538461538461,7.0,1,Low,88.71794871794872,Honest,Even-Even-Even
9,WARLANDER,1,E/P,3,82.9090909090909,1.0,5,Low,96.36363636363636,Honest,Moderate-Fast-Fast
9,SCIPIO,2,S  ,5,82.54545454545455,2.0,5,Low,95.15151515151516,Honest,Moderate-Fast-Fast
9,NEW CENTURY,3,S  ,0,82.54545454545455,2.0,6,Low,95.15151515151516,Honest,Moderate-Fast-Fast
9,TEST SCORE,5,P  ,3,82.54545454545455,2.0,5,Low,95.15151515151516,Honest,Moderate-Fast-Fast
9,MAXIMUM PROMISE,6,P  ,1,82.54545454545455,2.0,8,Low,95.15151515151516,Honest,Moderate-Fast-Fast
9,GIOCOSO,9,P  ,1,82.54545454545455,2.0,8,Low,95.15151515151516,Honest,Moderate-Fast-Fast
9,CLASSIC OF COURSE,11,P  ,5,82.54545454545455,2.0,6,Low,95.15151515151516,Honest,Moderate-Fast-Fast
9,MEGALODON,14,S  ,4,82.54545454545455,2.0,8,Low,95.15151515151516,Honest,Moderate-Fast-Fast
9,HAMMERHEAD,15,S  ,4,82.54545454545455,2.0,7,Low,95.15151515151516,Honest,Moderate-Fast-Fast
9,DISCREET DANCER,18,S  ,4,82.54545454545455,2.0,5,Low,95.15151515151516,Honest,Moderate-Fast-Fast
9,MAUI STRONG,13,E/P,4,81.66666666666666,11.0,3,Low,95.55555555555556,Honest,Moderate-Fast-Fast
9,MI BAGO,4,E  ,8,79.66666666666666,12.0,3,Low,88.88888888888889,Honest,Moderate-Fast-Fast
9,ZULU KINGDOM,7,E/P,6,78.61538461538461,13.0,1,Low,88.71794871794872,Honest,Moderate-Fast-Fast
9,IRON MAN CAL,10,E/P,6,78.61538461538461,13.0,2,Low,88.71794871794872,Honest,Moderate-Fast-Fast
9,GOLDEN AFTERNOON,12,E/P,5,78.61538461538461,13.0,2,Low,88.71794871794872,Honest,Moderate-Fast-Fast
9,SPIRIT RAGS,16,E/P,5,78.61538461538461,13.0,2,Low,88.71794871794872,Honest,Moderate-Fast-Fast
9,A. P. KID,17,E/P,6,78.61538461538461,13.0,1,Low,88.71794871794872,Honest,Moderate-Fast-Fast
9,CHARLIE'S TO BLAME,8,E/P,8,78.42857142857143,18.0,1,Low,91.42857142857143,Honest,Moderate-Fast-Fast
10,SCYLLA,1,P  ,3,82.54545454545455,1.0,6,Low,95.15151515151516,Slow,Slow-Slow-Sprint
10,AWESOME TREAT,4,P  ,3,82.54545454545455,1.0,6,Low,95.15151515151516,Slow,Slow-Slow-Sprint
10,HAULIN ICE,5,E  ,5,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
10,VAHVA,7,P  ,2,82.54545454545455,1.0,7,Low,95.15151515151516,Slow,Slow-Slow-Sprint
10,POSITANO SUNSET,11,P  ,0,82.54545454545455,1.0,6,Low,95.15151515151516,Slow,Slow-Slow-Sprint
10,GRAND JOB,15,E  ,3,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
10,MISS SUSAN B,16,S  ,0,82.54545454545455,1.0,7,Low,95.15151515151516,Slow,Slow-Slow-Sprint
10,KOPION,2,E/P,5,81.66666666666666,8.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
10,TAXED,14,P  ,0,80.33333333333333,9.0,9,Low,91.1111111111111,Slow,Slow-Slow-Sprint
10,HOPE ROAD,12,E  ,3,79.66666666666666,10.0,4,Low,88.88888888888889,Slow,Slow-Slow-Sprint
10,MY MANE SQUEEZE,13,P  ,3,79.66666666666666,10.0,4,Low,88.88888888888889,Slow,Slow-Slow-Sprint
10,BENEDETTA,3,E/P,6,78.61538461538461,12.0,1,Low,88.71794871794872,Slow,Slow-Slow-Sprint
10,MYSTIC LAKE,6,E/P,7,78.61538461538461,12.0,1,Low,88.71794871794872,Slow,Slow-Slow-Sprint
10,WAYS AND MEANS,8,E/P,5,78.61538461538461,12.0,1,Low,88.71794871794872,Slow,Slow-Slow-Sprint
10,EMERY,9,E/P,4,78.61538461538461,12.0,2,Low,88.71794871794872,Slow,Slow-Slow-Sprint
10,DORTH VADER,10,E/P,2,78.61538461538461,12.0,2,Low,88.71794871794872,Slow,Slow-Slow-Sprint
11,INTEGRATION,1,S  ,4,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
11,GOLD PHOENIX,2,P  ,2,82.54545454545455,1.0,7,Low,95.15151515151516,Slow,Slow-Slow-Sprint
11,REDISTRICTING,4,P  ,4,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
11,CAMEO PERFORMANCE,8,S  ,2,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
11,SPIRIT OF ST LOUIS,10,P  ,2,82.54545454545455,1.0,6,Low,95.15151515151516,Slow,Slow-Slow-Sprint
11,BRILLIANT BERTI,11,S  ,1,82.54545454545455,1.0,8,Low,95.15151515151516,Slow,Slow-Slow-Sprint
11,GIGANTE,12,P  ,5,82.54545454545455,1.0,6,Low,95.15151515151516,Slow,Slow-Slow-Sprint
11,TAKING CANDY,6,E/P,4,81.66666666666666,8.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
11,RUNNING BEE,7,E/P,4,81.66666666666666,8.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
11,HIGHWAY ROBBER,3,S  ,0,80.33333333333333,10.0,9,Low,91.1111111111111,Slow,Slow-Slow-Sprint
11,IDRATHERBEBLESSED,5,E/P,6,78.61538461538461,11.0,2,Low,88.71794871794872,Slow,Slow-Slow-Sprint
11,MERCANTE,9,E/P,7,78.61538461538461,11.0,1,Low,88.71794871794872,Slow,Slow-Slow-Sprint
12,CITIZEN BULL,1,E  ,8,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,FINAL GAMBIT,3,S  ,3,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,RODRIGUEZ,4,E  ,7,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,AMERICAN PROMISE,5,E  ,5,82.54545454545455,1.0,6,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,ADMIRE DAYTONA,6,NA ,0,82.54545454545455,1.0,6,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,LUXOR CAFE,7,NA ,0,82.54545454545455,1.0,6,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,BURNHAM SQUARE,9,P  ,2,82.54545454545455,1.0,8,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,GRANDE,10,E  ,6,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,FLYING MOHAWK,11,P  ,3,82.54545454545455,1.0,8,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,EAST AVENUE,12,E  ,5,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,PUBLISHER,13,P  ,0,82.54545454545455,1.0,6,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,TIZTASTIC,14,S  ,1,82.54545454545455,1.0,8,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,RENDER JUDGMENT,15,P  ,3,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,SANDMAN,17,S  ,0,82.54545454545455,1.0,8,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,SOVEREIGNTY,18,S  ,0,82.54545454545455,1.0,9,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,CHUNK OF GOLD,19,S  ,2,82.54545454545455,1.0,7,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,OWEN ALMIGHTY,20,E  ,7,82.54545454545455,1.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
12,JOURNALISM,8,E/P,5,81.66666666666666,18.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
12,NEOEQUOS,2,E  ,8,79.66666666666666,19.0,3,Low,88.88888888888889,Slow,Slow-Slow-Sprint
12,COAL BATTLE,16,E/P,4,78.61538461538461,20.0,2,Low,88.71794871794872,Slow,Slow-Slow-Sprint
12,BAEZA,21,E/P,7,78.42857142857143,21.0,1,Low,91.42857142857143,Slow,Slow-Slow-Sprint
13,SHAN,4,E/P,0,82.9090909090909,1.0,5,Low,96.36363636363636,Slow,Slow-Slow-Sprint
13,JACK'S PROMISE,1,P  ,3,82.54545454545455,2.0,7,Low,95.15151515151516,Slow,Slow-Slow-Sprint
13,DAPPER MOON,2,P  ,3,82.54545454545455,2.0,7,Low,95.15151515151516,Slow,Slow-Slow-Sprint
13,CLASSIC TIME,6,P  ,2,82.54545454545455,2.0,5,Low,95.15151515151516,Slow,Slow-Slow-Sprint
13,MULTIVERSE,7,S  ,0,82.54545454545455,2.0,8,Low,95.15151515151516,Slow,Slow-Slow-Sprint
13,TOUCHY,8,P  ,0,82.54545454545455,2.0,7,Low,95.15151515151516,Slow,Slow-Slow-Sprint
13,FULLY VOLATILE,13,P  ,0,82.54545454545455,2.0,6,Low,95.15151515151516,Slow,Slow-Slow-Sprint
13,BIG TRUZZ,14,P  ,1,82.54545454545455,2.0,6,Low,95.15151515151516,Slow,Slow-Slow-Sprint
13,HAUNTED FLAME,15,S  ,0,82.54545454545455,2.0,9,Low,95.15151515151516,Slow,Slow-Slow-Sprint
13,OPTICAL,10,E/P,1,81.66666666666666,10.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
13,PATCH ADAMS,11,E/P,2,81.66666666666666,10.0,3,Low,95.55555555555556,Slow,Slow-Slow-Sprint
13,FURIO,3,E  ,5,79.66666666666666,12.0,4,Low,88.88888888888889,Slow,Slow-Slow-Sprint
