trainer,days_to_race_mean,days_to_race_std,num_works_30_days_mean,num_works_14_days_mean,had_bullet_work_sum,had_bullet_work_mean,bullet_days_before_mean,avg_work_distance_mean,had_gate_work_mean,work_pattern_type_<lambda>,win_count,historical_win_rate,historical_itm_rate,avg_winning_odds
BARR DONALD H,10.0,4.24,1.0,1.0,0,0.0,,843.33,0.0,light,2,20.0,50.0,12.43
BRION KERI,4.5,0.71,2.0,1.0,2,1.0,12.5,880.0,0.0,maintenance,2,27.27272727272727,45.45454545454545,5.336363636363637
CAPUANO PHILLIP,4.0,,3.0,1.0,0,0.0,,848.57,1.0,maintenance,1,6.25,50.0,11.62875
CIBELLI JANE,21.0,,1.0,0.0,1,1.0,35.0,880.0,1.0,light,1,11.11111111111111,33.33333333333333,16.495555555555555
COX KENNETH M,28.0,,1.0,0.0,0,0.0,,880.0,0.0,light,1,14.285714285714285,28.57142857142857,19.49285714285714
DOWLING WILLIAM,32.0,,0.0,0.0,1,1.0,32.0,880.0,0.0,light,1,10.0,40.0,14.489999999999998
FARRIOR ANTHONY,8.5,7.78,2.0,1.0,0,0.0,,843.33,0.0,light,2,6.666666666666667,56.666666666666664,6.296
FIGGINS OLLIE L III,7.0,,2.0,1.0,0,0.0,,1045.0,0.0,maintenance,1,12.5,37.5,18.45
FROCK CHARLES A,5.0,,2.0,2.0,0,0.0,,880.0,1.0,maintenance,1,33.33333333333333,66.66666666666666,3.2000000000000006
GAUDET LACEY,5.5,0.71,1.5,1.0,1,0.5,55.0,880.0,0.0,maintenance,2,11.11111111111111,29.629629629629626,8.985185185185186
GONZALEZ CLAUDIO A,24.8,19.4,1.0,0.4,0,0.0,,924.0,0.0,light,5,28.57142857142857,57.14285714285714,15.192857142857143
GRAHAM ROBIN L,10.33,6.66,2.33,1.33,2,0.67,19.0,715.0,0.0,maintenance,3,50.0,80.0,3.12
GRAMS TIMOTHY C,55.0,,0.0,0.0,0,0.0,,880.0,0.0,light,1,10.0,70.0,11.330000000000002
KEIL CAITLIN,29.5,30.41,1.0,0.5,1,0.5,8.0,843.33,0.5,light,2,20.0,70.0,4.5600000000000005
MAGEE KIERON,22.67,15.04,1.0,0.67,0,0.0,,880.0,0.0,light,3,15.0,45.0,12.760000000000002
MCMAHON HUGH I,4.0,,3.0,2.0,0,0.0,,935.0,1.0,maintenance,1,7.142857142857142,28.57142857142857,6.871428571428571
RUSSELL BRITTANY T,6.0,1.0,2.33,1.67,1,0.33,27.0,880.0,0.33,maintenance,3,28.57142857142857,52.38095238095239,5.738095238095239
SALZMAN JOHN E,55.0,,0.0,0.0,0,0.0,,880.0,0.0,light,1,12.5,62.5,9.125
SANCHEZ-SALOMON RODOLFO,16.4,6.91,1.4,0.6,1,0.2,57.0,854.33,0.0,light,5,18.181818181818183,42.42424242424242,16.83030303030303
SAVILLE NIALL,6.0,,1.0,1.0,0,0.0,,990.0,0.0,maintenance,1,12.5,25.0,15.062500000000002
SCHOENTHAL PHIL,25.0,,1.0,0.0,1,1.0,38.0,1100.0,0.0,light,1,20.0,20.0,16.639999999999997
SULLIVAN ELLIOTT,32.0,,0.0,0.0,0,0.0,,880.0,0.0,light,1,10.0,80.0,3.9300000000000006
TROMBETTA MICHAEL J,6.0,,4.0,2.0,0,0.0,,880.0,0.0,maintenance,1,50.0,50.0,2.2
VERA MIGUEL,10.0,,3.0,1.0,1,1.0,10.0,806.67,0.0,building,1,10.0,30.0,18.919999999999998
