race,horse_name,post_position,today_s_trainer,workout_readiness_score,workout_readiness_category,workout_quality_score,bullet_work_count,works_last_14d,pct_fast_works,workout_rank
1,BOURBON SOCIETY,9,WILKES IAN R,66.95454545454545,Good,43.0,1.0,0.0,90.9090909090909,1.0
1,COFFEE TALK,11,COX BRAD H,62.45454545454545,Good,34.0,0.0,0.0,90.9090909090909,2.0
1,SANSONE,8,MCGAUGHEY CLAUDE III,62.36363636363637,Good,52.0,1.0,0.0,72.72727272727273,3.0
1,KNICKS CODE,1,MCCARTHY MICHAEL W,61.857142857142854,Good,38.0,0.0,0.0,85.71428571428571,4.0
1,FOUNTAIN LAKE,3,ORTIZ JOHN ALEXANDER,61.45454545454545,Good,32.0,0.0,0.0,90.9090909090909,5.0
1,STURDY,4,WEAVER GEORGE,53.90909090909091,Fair,44.18181818181818,1.0,0.0,63.63636363636363,6.0
1,KICKING CLEAR,6,WALSH BRENDAN P,53.86363636363637,Fair,35.0,0.0,0.0,72.72727272727273,7.0
1,MONEY MAN,7,HEATH DESTIN G,52.86363636363637,Fair,33.0,0.0,0.0,72.72727272727273,8.0
1,KNICKS GATE,10,COLEBROOK BEN,50.81818181818181,Fair,47.09090909090909,1.0,0.0,54.54545454545454,9.0
1,CROMWELL,2,DEVAUX CHERIE,48.31818181818181,Fair,33.0,0.0,0.0,63.63636363636363,10.0
1,CHILLAX,12,MOTT WILLIAM I,39.22727272727273,Poor,33.0,0.0,0.0,45.45454545454545,11.0
1,BANDED HUMOR,5,WISMER GLENN S,29.333333333333332,Poor,42.0,1.0,0.0,16.666666666666664,12.0
2,SECRET STATEMENT,1,BAKER JAMES,81.5,Excellent,63.0,2.0,0.0,100.0,1.0
2,LEMON MUFFIN,8,LUKAS D WAYNE,74.95454545454545,Good,59.0,2.0,0.0,90.9090909090909,2.0
2,DON'T BRING CRAZY,6,O'NEILL DOUG,73.5,Good,47.0,1.0,0.0,100.0,3.0
2,DESERT RHAPSODY,9,O'NEILL DOUG,70.0,Good,40.0,0.0,0.0,100.0,4.0
2,HOME GAME,4,MOREY WILLIAM E,63.909090909090914,Good,46.0,1.0,0.0,81.81818181818183,5.0
2,GENEROUS LOVER,10,SHARP JOE,60.86363636363637,Good,49.0,1.0,0.0,72.72727272727273,6.0
2,TAPIT QUICK,5,STEWART DALLAS,57.909090909090914,Fair,34.0,0.0,0.0,81.81818181818183,7.0
2,NORMANDY QUEEN,7,MOQUETT RONALD E,53.86363636363637,Fair,35.0,0.0,0.0,72.72727272727273,8.0
2,IZZY'S MONSTER,3,VILLA FRANCISCO,53.31818181818181,Fair,43.0,1.0,0.0,63.63636363636363,9.0
2,GRACE ON GRACE,2,DEMERITTE LARRY,34.68181818181819,Poor,33.0,0.0,0.0,36.36363636363637,10.0
2,BARBRATINA,11,DUTROW RICHARD E,21.363636363636367,Poor,24.545454545454547,0.0,0.0,18.181818181818183,11.0
3,TIZ SECURE,9,BAFFERT BOB,71.95454545454545,Good,53.0,1.0,0.0,90.9090909090909,1.0
3,GOAL ORIENTED,5,BAFFERT BOB,68.9090909090909,Good,56.0,1.0,0.0,81.81818181818183,2.0
3,HYPNUS,7,MCPEEK KENNETH G,68.45454545454545,Good,46.0,1.0,0.0,90.9090909090909,3.0
3,SORCERER'S SILVER,11,ROMANS DALE,57.909090909090914,Fair,34.0,0.0,0.0,81.81818181818183,4.0
3,VALENTINIAN,3,PLETCHER TODD A,55.31818181818181,Fair,47.0,1.0,0.0,63.63636363636363,5.0
3,YINZER,8,ASMUSSEN STEVEN M,54.772727272727266,Fair,55.0,2.0,0.0,54.54545454545454,6.0
3,RAPTURE,6,COX BRAD H,48.81818181818181,Fair,34.0,0.0,0.0,63.63636363636363,7.0
3,BRACKET BUSTER,2,OLIVER VICTORIA,44.72727272727273,Fair,44.0,1.0,0.0,45.45454545454545,8.0
3,VAMOS CARLITOS,1,FOLEY GREG,41.772727272727266,Fair,29.0,0.0,0.0,54.54545454545454,9.0
3,STRUMMIN,10,HANCOCK JOHN A,41.22727272727273,Fair,37.0,0.0,0.0,45.45454545454545,10.0
3,RACING DRIVER,4,DELGADO GUSTAVO,36.72727272727273,Poor,28.0,0.0,0.0,45.45454545454545,11.0
4,PATRIOT SPIRIT,12,CAMPBELL MICHAEL,96.5,Excellent,93.0,5.0,0.0,100.0,1.0
4,NEW KING,13,RUSSELL BRITTANY T,75.45454545454545,Good,60.0,2.0,0.0,90.9090909090909,2.0
4,ASHCROFT,1,LUKAS D WAYNE,70.4090909090909,Good,59.0,2.0,0.0,81.81818181818183,3.0
4,INVEIGLED,11,CIBELLI JANE,69.72727272727272,Good,48.54545454545455,1.0,0.0,90.9090909090909,4.0
4,IMPLEMENTATION,10,JOSEPH SAFFIE A JR,65.4090909090909,Good,49.0,1.0,0.0,81.81818181818183,5.0
4,LIBERAL ARTS,9,COX BRAD H,62.45454545454545,Good,34.0,0.0,0.0,90.9090909090909,6.0
4,ACCRETIVE,3,SHARP JOE,62.409090909090914,Good,43.0,1.0,0.0,81.81818181818183,7.0
4,BEST ACTOR,7,MOGER ED JR,58.86363636363637,Fair,45.0,1.0,0.0,72.72727272727273,8.0
4,KUPUNA,6,CALHOUN WILLIAM BRET,48.772727272727266,Fair,43.0,1.0,0.0,54.54545454545454,9.0
4,QUALITY CHIC,14,COOK JASON B,47.63636363636363,Fair,40.72727272727273,1.0,0.0,54.54545454545454,10.0
4,KEEN CAT,5,MORSE RANDY L,46.81818181818181,Fair,30.0,0.0,0.0,63.63636363636363,11.0
4,OSBOURNE,2,MOQUETT RONALD E,45.81818181818181,Fair,28.0,0.0,0.0,63.63636363636363,12.0
4,CASTLE CHAOS,4,FALCONE ROBERT N JR,38.5,Poor,31.545454545454547,0.0,0.0,45.45454545454545,13.0
4,CHIRON,8,ESTVANKO RICHARD,33.18181818181819,Poor,30.0,0.0,0.0,36.36363636363637,14.0
5,SACRED WISH,6,WEAVER GEORGE,68.04545454545455,Good,45.18181818181818,1.0,0.0,90.9090909090909,1.0
5,SERENE SERAPH,4,MOTT WILLIAM I,63.727272727272734,Good,54.72727272727273,2.0,0.0,72.72727272727273,2.0
5,MOVIN' ON UP,2,JOSEPH SAFFIE A JR,63.45454545454545,Good,36.0,0.0,0.0,90.9090909090909,3.0
5,FIVE TOWNS,5,MOTION H GRAHAM,62.54545454545455,Good,34.18181818181818,0.0,0.0,90.9090909090909,4.0
5,PIN UP BETTY,3,MAKER MICHAEL J,58.909090909090914,Fair,36.0,0.0,0.0,81.81818181818183,5.0
5,SPECIAL WAN,10,WALSH BRENDAN P,58.68181818181819,Fair,35.54545454545455,0.0,0.0,81.81818181818183,6.0
5,SIMPLY IN FRONT,9,KENNEALLY EDDIE,57.68181818181819,Fair,33.54545454545455,0.0,0.0,81.81818181818183,7.0
5,POOLSIDE WITH SLIM,8,ARNOLD GEORGE R II,57.409090909090914,Fair,42.09090909090909,1.0,0.0,72.72727272727273,8.0
5,VENENCIA,1,BROWN CHAD C,33.95454545454545,Poor,31.545454545454547,0.0,0.0,36.36363636363637,9.0
5,TAX IMPLICATIONS,7,BROWN CHAD C,31.5,Poor,26.636363636363637,0.0,0.0,36.36363636363637,10.0
6,GAMING,6,BAFFERT BOB,92.95454545454545,Excellent,95.0,5.0,0.0,90.9090909090909,1.0
6,MADAKET ROAD,1,BAFFERT BOB,85.0,Excellent,70.0,3.0,0.0,100.0,2.0
6,CALIFORNIA BURRITO,3,DRURY THOMAS JR,72.5,Good,45.0,1.0,0.0,100.0,3.0
6,INNOVATOR,8,LUKAS D WAYNE,57.36363636363637,Fair,42.0,1.0,0.0,72.72727272727273,4.0
6,PERFECT FORCE,9,LUKAS D WAYNE,56.409090909090914,Fair,31.0,0.0,0.0,81.81818181818183,5.0
6,SMOKEN WICKED,4,STEWART DALLAS,55.772727272727266,Fair,57.0,2.0,0.0,54.54545454545454,6.0
6,MACHO MUSIC,7,CRICHTON ROHAN,54.86363636363637,Fair,37.0,0.0,0.0,72.72727272727273,7.0
6,BUILT,2,CATALANO WAYNE M,52.86363636363637,Fair,33.0,0.0,0.0,72.72727272727273,8.0
6,GATE TO WIRE,5,PLETCHER TODD A,52.31818181818181,Fair,41.0,1.0,0.0,63.63636363636363,9.0
7,NOBALS,3,RIVELLI LARRY,67.95454545454545,Good,45.0,1.0,0.0,90.9090909090909,1.0
7,EAMONN,11,ORSENO JOSEPH F,63.909090909090914,Good,46.0,1.0,0.0,81.81818181818183,2.0
7,THINK BIG,7,STIDHAM MICHAEL,60.95454545454545,Good,31.0,0.0,0.0,90.9090909090909,3.0
7,COPPOLA,1,ROMANS DALE,60.09090909090909,Good,56.54545454545455,2.0,0.0,63.63636363636363,4.0
7,UNCONQUERABLE KEEN,10,DAMATO PHILIP,59.909090909090914,Fair,38.0,0.0,0.0,81.81818181818183,5.0
7,RUN CARSON,6,DANNER KELSEY,59.86363636363637,Fair,47.0,1.0,0.0,72.72727272727273,6.0
7,AMBIVALENT,2,MAKER MICHAEL J,57.909090909090914,Fair,34.0,0.0,0.0,81.81818181818183,7.0
7,ONE TIMER,4,RIVELLI LARRY,57.909090909090914,Fair,34.0,0.0,0.0,81.81818181818183,7.0
7,MISCHIEVOUS ROGUE,12,VANDEN BERG BRITTANY A,55.31818181818181,Fair,47.0,1.0,0.0,63.63636363636363,9.0
7,BOSS SULLY,9,KORINER BRIAN,54.36363636363637,Fair,36.0,0.0,0.0,72.72727272727273,10.0
7,ARREST ME RED,5,WARD WESLEY A,53.63636363636363,Fair,52.72727272727273,2.0,0.0,54.54545454545454,11.0
7,ROGUE LIGHTNING,8,CLOVER TOM,25.0,Poor,,,,,12.0
8,MULLIKIN,11,BRISSET RODOLPHE,85.95454545454545,Excellent,81.0,4.0,0.0,90.9090909090909,1.0
8,NYSOS,10,BAFFERT BOB,81.5,Excellent,63.0,2.0,0.0,100.0,2.0
8,MINDFRAME,7,PLETCHER TODD A,68.9090909090909,Good,56.0,2.0,0.0,81.81818181818183,3.0
8,HOIST THE GOLD,8,STEWART DALLAS,68.5,Good,37.0,0.0,0.0,100.0,4.0
8,HERE MI SONG,9,STINSON WILLIAM JR,60.31818181818181,Good,57.0,2.0,0.0,63.63636363636363,5.0
8,BOOK'EM DANNO,3,RYAN DEREK S,59.727272727272734,Fair,37.63636363636364,0.0,0.0,81.81818181818183,6.0
8,JUST STEEL,1,LUKAS D WAYNE,54.31818181818181,Fair,45.0,1.0,0.0,63.63636363636363,7.0
8,TEJANO TWIST,5,HARTMAN CHRIS,52.86363636363637,Fair,33.0,0.0,0.0,72.72727272727273,8.0
8,GIANT MISCHIEF,4,COX BRAD H,49.772727272727266,Fair,45.0,1.0,0.0,54.54545454545454,9.0
8,EXTRA ANEJO,6,ASMUSSEN STEVEN M,45.22727272727273,Fair,45.0,1.0,0.0,45.45454545454545,10.0
8,BANISHING,2,JACOBSON DAVID,23.590909090909093,Poor,29.0,0.0,0.0,18.181818181818183,11.0
9,HAMMERHEAD,15,SUMMERS CHAD,90.5909090909091,Excellent,81.18181818181819,4.0,0.0,100.0,1.0
9,CLASSIC OF COURSE,11,BIANCONE PATRICK L,74.72727272727272,Good,58.54545454545455,2.0,0.0,90.9090909090909,2.0
9,A. P. KID,17,PLETCHER TODD A,74.27272727272728,Good,48.54545454545455,1.0,0.0,100.0,3.0
9,SCIPIO,2,BALTAS RICHARD,66.5,Good,33.0,0.0,0.0,100.0,4.0
9,IRON MAN CAL,10,DAMATO PHILIP,64.9090909090909,Good,48.0,1.0,0.0,81.81818181818183,5.0
9,MEGALODON,14,CARROLL JOSIE,63.95454545454545,Good,37.0,0.0,0.0,90.9090909090909,6.0
9,MAXIMUM PROMISE,6,MCPEEK KENNETH G,62.95454545454545,Good,35.0,0.0,0.0,90.9090909090909,7.0
9,MI BAGO,4,CASSE MARK,62.227272727272734,Good,42.63636363636364,1.0,0.0,81.81818181818183,8.0
