metric,range,count,success_rate,avg_finish_pos,avg_speed_rating
days_since_last_work,0-4,16,81.25,2.5,84.3125
days_since_last_work,5-7,276,64.85507246376811,3.229090909090909,87.17090909090909
days_since_last_work,8-14,183,61.20218579234973,3.519125683060109,85.73224043715847
days_since_last_work,15-30,67,68.65671641791045,3.1641791044776117,83.97014925373135
num_works_30d,0-2,343,64.1399416909621,3.3128654970760234,85.05847953216374
num_works_30d,3-4,212,64.62264150943396,3.2547169811320753,87.86792452830188
num_works_30d,5-6,5,60.0,4.0,77.0
workout_intensity_score,0-5,284,63.38028169014085,3.316901408450704,84.83098591549296
workout_intensity_score,6-10,230,64.78260869565217,3.3275109170305677,87.01310043668123
workout_intensity_score,11-15,46,67.3913043478261,3.0217391304347827,88.80434782608695
