pp_ext_start_comment,pp_trip_comment
10-25-24 Void early speed; vey wide upper stretch; no factor;,Very wide upper
11-30-24 2-path turn; 4 wide 1/4; weakened;,2-4wd turn; weakened
01-17-25 Off pace; 3wd mid turn; angled out upper stretch; trying between,3w;angl out;churn btw
03-01-25 Speed;shadowed leader 2w;duel between past 5/16;game 2nd,Shadowed;vied bw;gme
03-27-25 Tracked between 1st; 4p 2nd turn; 6 wide upper; up for show,Btwn1st;4w1/4;6w upper
07-06-24 Chased pace; 2-path; weakened,Chased; weakened
07-19-24 No factor; 4 wide turn,4 wide turn
08-17-24 Void early speed; swung very wide 1/8; passed tiring rivals;,Very wide 1/8
09-01-24 Off pace; saved ground into stretch; mild response,Mild inside response
09-15-24 Bumped around start;rated towards inside;angled 4wd;mildly,Bmp around;angl;bid
10-11-24 Saved ground turn; between horses stretch; willing,Rail;between;willing
11-01-24 No factor; swung 9-path 1/8; lost whip late,9wd 1/8;lost whip
11-16-24 Stumbled; bumped start; outrun;,Stumbled;bump start
11-30-24 Saved ground;chased 3/8;off rail far turn;little lane,Off rail; little lane
12-22-24 Tired readily; eased up on stretch,Early chase;tired;easd
08-24-24 Attempted to bolt; getting out turn,Attempted to bolt
09-22-24 Outrun inside,Inside; outrun
10-11-24 Dropped back; trailed,Drppd back; trailed
11-01-24 Slow start; swung 8-path mid stretch; passed tiring rivals;,Slow start;8-path 1/8
11-09-24 No speed; late move between horses;,Late move between foes
08-24-24 Went evenly; fail to menace,Went evenly
10-17-24 Settled off pace; angled out 3/8 pole; circled 4wd; empty late,Angl 3/8;circld 4w;evn
11-03-24 Settled 4wd off duel;shifted out wider stretch;belated gain,Off duel;wide;belated
11-30-24 Unhurried early; rail; no factor;,Rail; no factor
12-22-24 Checked between early; 3-5 wide turn; moved up,Chckd early;3-5w turn
01-26-25 Slow start; rail 3/8; swung 5 wide upper; left lead 1/16; flatten,5wd;left lead 1/16
02-07-25 3-deep 1/2;chased duel 5/16;5wd run;slim lead;floated;edged,3-5w;floated;edge btw
02-28-25 Chased off inside; 4wd upper; angled out 1/8; belated action,4w;shift out;belatedly
03-21-25 No speed; 4 wide turn; no rally;,4wd; no rally
12-22-24 Off slowly; lacked bid,Off slowly;lacked bid
02-01-25 Circled foes turn; 4 wide 1/4; dropped back;,3-4wd;fell back
12-12-23 Off pace inside; no factor,Inside; no factor
02-06-24 Dropped far behind inside and stopped,Inside; outrun
03-15-24 Stalked pace 4 wide; vied outside; tired,4 wide; tired
05-11-24 Off pace; 5-wide 3/16; no final bid,5-w 3/16;no final bid
06-07-24 Steadied in tight quarters start; no factor; rail turn,Steadied start;rail
06-23-24 Off pace inside; lacked room altered 1/8; steadied 1/16,Altrd 1/8; steady 1/16
08-29-24 Unhurried early; split rivals mid-stretch; late gain,Split rvls; late gain
10-10-24 Circled foes; 4 wide 1/4; rallied;,4wd 1/4;rallied
10-31-24 Failed to menace,Failed to menace
12-22-24 Off pace; 3-wide bid 1/4; faded,4-3w;edge up;faded
03-07-25 Allowed to settle; inside turn; blocked 1/4; improved,Ins;blocked1/4;improvd
03-28-25 Vied between horses early; chased inside foe turn; weakened,Btw early;ins foe turn
04-18-25 Bumped start; swung 5 wide 3/16; left lead; mild gain,Bump start;left lead
11-01-24 Chased pace inside; 4 wide 2nd turn; tired,Ins;4p 2nd turn;tired
11-22-24 Reserved inside; no threat;,Inside; no threat
09-15-24 Bumped start; inside foe near 3/8; altered out late; need bid,Bmp st;alter out lte
12-13-24 Between foes 5/8; circled foes 4wd into stretch; churned; nab 2nd,Btw 5/8;4wd 1/4;churn
01-17-25 Off pace; off inside; failed to menace,Failed to menace
03-01-25 Settled off inside; under ride 2nd turn; shift out lane; closed,Shift out str;mild run
04-06-25 Inside;under ride 1/2;angled turn;bumped upper;out kick ins foe,Rddn 1/2;angl;bmp 1/4
06-12-24 Vied between horses; 3-4 wide backstretch; 2 wide 1/4; tired,Btwn;3-4p;2w1/4;wknd
09-04-24 Stalked pace; 4 wide; gave way;,Stalk 4w; gave way
09-25-24 Mid pck;looped up 3w 2nd trn; widest str; drifted in;held share,Widest;drft in;held s
11-20-24 Reserved inside; came 4 wide; no rally;,Ins;came4w; no rally
02-07-25 Reserved early; inside upper stretch; no threat;,Inside upper;no threat
02-27-25 Prompted pace 3-2 wide; tired,Prompted3-2w; tired
04-06-25 Urged chasing inside foes; angled out 3/8; well wide upper; tired,Urged ins;angl;tired
03-10-24 Slow start; outrun;,Slow start; outrun
04-28-24 Rated early;3wd between near 1/2;wait 1/4;checked;blocked 1/16,Wait 1/4;chk;blck 1/16
05-24-24 Between horses far turn; angled out; lacked solid run,Btw 3-1/2;angl;empty
06-14-24 In close quarters start; outrun;,In close start
07-12-24 Stumbled start; no factor;,Stumbled start;no bid
08-16-24 Traffic 1/4 pole; swung outside; no rally;,Traffic 1/4; no rally
09-20-24 Stalked 3wd; under pressure past 5/16; drifted near 1/8; faded,3wd turns;drift;fade
10-10-24 Fractious behind gate; steadied early; no factor;,Unruly;steadied early
04-18-25 3 wide first turn; 2 wide far turn; weakened;,3-2wd turns;weakened
04-27-25 Step slow; used 4wd early; fanned 7wd past 1/4; gave way,Stp slw;4w;fanned 7wd
09-13-24 Chased in the three path but never threatened,Chased3p;never threat
10-12-24 Off pace 2-3wd; 6wd 3/16; ran on for show,2-3w; 6w 3/16; up show
11-10-24 Tracked3p;coaxed around far turn;angled5p lane;ran on; up place,Track3-5p;up for place
12-05-24 Bumped st; stalked 3wd 1st; chased rail far turn; one-paced lane,Bmp st;3w 1st;rail far
01-01-25 Bump st;chased2p;stayed on4p stretch,Bump st;2-4p;stayed on
01-17-25 Bumped start; inside; belatedly,Bumped start; inside
02-12-25 Off pace inside; ran on 2wd for show,2wd far turn; ran on
03-16-25 3p1st;prsd pc outside;4p2nd;chase on,Prsd pc;3-4p;chase on
04-04-25 Brk out bmp foe;rated inside;moved out;bid 4 wide;drifted;2d best,Brk out bmp;ins;bid4w
09-15-23 Outrun;,Outrun
10-05-23 No speed; swung 5 wide 1/8; passed tiring rivals;,Swung 5wd 1/8
10-22-23 Bumped start; settled back; late rally;,Bumped st; late rally
11-20-23 Outrun early; closed belatedly inside,Outrun  early; belated
12-09-23 Off pace; 4-5 wide turn; no bid; outside,4-5w turn;no bid;outs
02-24-24 Bump foe & bobble brk; 5-6w; kept on; improved,Bump foe brk;5-6w
04-12-24 Chased pace 3-path turn; 4 wide upper stretch; late bid,3-4wd; late bid
05-24-24 3-deep early; hard chase into stretch; faded late,3deep;chase;fade
06-15-24 Lightly bumped 5/8; 3 wide turn; led mid stretch; driving;,Bump 5/8;3w;drvng
07-25-24 Clipped heels turn; lost jockey; walked off,Clipd heels;lost rider
05-12-24 Bumped start; settled; inside; angled 1/8; finished well; driving,Bmp st;ins;angl 1/8;up
06-22-24 Bumped start; wide turn; 6-path upper stretch; no factor;,Bump start;4-6wd
07-07-24 Bit sluggish start;5-4wd outside foes;hard ridden 5/16;outfinish,5-4w;hard rddn 5/16
08-03-24 4 wide turn; chased; weakened;,Wide; weakened
08-31-24 Hesitated start; off pace; 3wd 1/2; failed to respond,Hesitated start;3w 1/2
09-27-24 Broke outward;bumped;between early;stalk 1/2;shift 4w;chase;tired,Brk out;bmp;bw-4w;wknd
01-31-25 Broke slowly; 4wd upper stretch; no factor,Brk slow;4wd upper
02-22-25 Bore out start; 2 wide turn; fanned 5 wide upper; mild gain,5wd; mild gain
03-29-25 Stalked pace; swung 4-path upper stretch; needed more,Stalked; needed more
04-11-25 No speed; rail turn; swung outside 1/8; up at wire,Rail 1/4;swung out 1/8
08-18-24 Set pressured pace inside; headed into stretch; willing; held 2nd,Pressured ins;game 2nd
08-25-24 Came out after start; bump; steady leaving chute; chase 2w;mildly,Came out;bump;stdy
10-10-24 Rail; speed; weakened;,Rail; weakened
10-26-24 Awkward start;edge up 4-3w;stalk;bid to lead 1/8;widen;ridden out,Awkwrd st;4-3w;r out
12-01-24 Tracked inside; shifted 4p; drove clear,Track ins;angl 4p;drvg
12-28-24 Bumped start; swung 6 wide into lane; flattened out;,Bump start;6wd 3/16
01-31-25 6wd outside trio near 5/8; chased duelers 3-4wd 5/16; weakened,6wd 5/8;4wd turn
02-22-25 Pressed pace; led upper; drifted out late; driving;,Drifted out late
04-04-25 Allowed to roll ins;led 1/2;pressured;battled to upper;weakened,Speed ins;vied to uppr
04-25-25 2-path; dueled; faded,Dueled; faded
08-16-24 No speed; 2-path turn; no factor;,2-path turn;no factor
09-27-24 Clear early;pace 4-3wd;met bid 3/8;duel inside winner;grudgingly,4-3w;ins foe;grudgngly
11-03-24 Awkward start; no factor,Awkward break
11-28-24 Aggressive handling 5-4wd;edged up 3/8;hard chase 1/4;faded,Aggressive ride 5-4wd
12-27-24 Edged up early inside;chased inside past 3/8;ease out;move;fade,Ins;angl;mve;fade
01-26-25 Drifted out into first turn; rail far turn; no factor;,Rail far turn; no bid
02-08-25 3-path first turn; chased; dropped back far turn; by-faders late,By-faders late
02-28-25 No speed; swung 5 wide into stretch; mild gain,5wd; mild gain
