horse_name,pp_race_date,pp_track_condition,pp_distance,pp_distance_type,pp_surface,pp_num_entrants,pp_odds,morn_line_odds_if_available,pp_purse,pp_finish_pos,pp_bris_speed_rating,bris_run_style_designation,quirin_style_speed_points,pp_e1_pace,pp_e2_pace,pp_turn_time,pp_bris_late_pace,pace_cluster
ALVY,2024-06-22,FT,1830.0,Route,D,6,2.6,15.00,19500,1.0,90.0,S  ,2,78.0,85.0,7.0,93.0,1.0
ALVY,2024-08-01,FT,1760.0,Route,D,6,1.9,15.00,21000,1.0,82.0,S  ,2,84.0,79.0,-5.0,89.0,1.0
ALVY,2024-08-22,FT,1830.0,Route,D,7,1.9,15.00,31000,2.0,85.0,S  ,2,80.0,81.0,1.0,91.0,1.0
ALVY,2024-09-14,FT,1540.0,Sprint,D,8,0.7,15.00,27400,1.0,78.0,S  ,2,88.0,83.0,-5.0,83.0,1.0
ALVY,2024-10-12,FT,1540.0,Sprint,D,11,4.3,15.00,40800,4.0,85.0,S  ,2,91.0,93.0,2.0,83.0,0.0
ALVY,2024-12-04,FT,1760.0,Route,D,6,2.6,15.00,23000,1.0,84.0,S  ,2,83.0,84.0,1.0,87.0,1.0
ALVY,2024-12-27,FT,1870.0,Route,D,4,2.0,15.00,23000,4.0,55.0,S  ,2,60.0,64.0,4.0,54.0,2.0
ALVY,2025-01-24,FT,1540.0,Sprint,D,8,1.2,15.00,20600,1.0,79.0,S  ,2,82.0,76.0,-6.0,91.0,1.0
ALVY,2025-03-23,FT,1760.0,Route,D,8,3.9,15.00,24960,3.0,83.0,S  ,2,77.0,77.0,0.0,92.0,1.0
ALVY,2025-04-05,FT,1870.0,Route,D,8,10.1,15.00,24960,3.0,80.0,S  ,2,68.0,70.0,2.0,91.0,1.0
BIG BIG STAR,2022-01-07,FT,1760.0,Route,D,9,4.1,8.00,62000,6.0,65.0,E/P,5,72.0,63.0,-9.0,77.0,1.0
BIG BIG STAR,2024-04-28,FM,1980.0,Route,T,12,4.8,8.00,42800,1.0,81.0,E/P,5,96.0,86.0,-10.0,73.0,0.0
BIG BIG STAR,2024-05-27,FM,1760.0,Route,T,10,7.0,8.00,34200,2.0,78.0,E/P,5,85.0,85.0,0.0,76.0,0.0
BIG BIG STAR,2024-06-22,FM,-1870.0,Sprint,T,8,4.8,8.00,41000,4.0,71.0,E/P,5,80.0,69.0,-11.0,80.0,1.0
BIG BIG STAR,2024-07-14,FM,1870.0,Route,t,12,10.3,8.00,50000,5.0,74.0,E/P,5,98.0,90.0,-8.0,60.0,0.0
BIG BIG STAR,2024-08-17,FM,1870.0,Route,t,9,3.0,8.00,40000,9.0,60.0,E/P,5,98.0,98.0,0.0,30.0,0.0
BIG BIG STAR,2024-08-30,FM,1980.0,Route,t,12,7.2,8.00,28000,11.0,61.0,E/P,5,69.0,71.0,2.0,52.0,2.0
