fraction_1_1,fraction_2_1,fraction_3_1,fraction_4_1,fraction_5_1,fraction_6_1,fraction_5f_1,fraction_7f_1,fraction_1_2,fraction_2_2,fraction_3_2,fraction_4_2,fraction_5_2,fraction_6_2,fraction_5f_2,fraction_7f_2,fraction_1_3,fraction_2_3,fraction_3_3,fraction_4_3,fraction_5_3,fraction_6_3,fraction_5f_3,fraction_7f_3,fraction_1_4,fraction_2_4,fraction_3_4,fraction_4_4,fraction_5_4,fraction_6_4,fraction_5f_4,fraction_7f_4,fraction_1_5,fraction_2_5,fraction_3_5,fraction_4_5,fraction_5_5,fraction_6_5,fraction_5f_5,fraction_7f_5,fraction_1_6,fraction_2_6,fraction_3_6,fraction_4_6,fraction_5_6,fraction_6_6,fraction_5f_6,fraction_7f_6,fraction_1_7,fraction_2_7,fraction_3_7,fraction_4_7,fraction_5_7,fraction_6_7,fraction_5f_7,fraction_7f_7,fraction_1_8,fraction_2_8,fraction_3_8,fraction_4_8,fraction_5_8,fraction_6_8,fraction_5f_8,fraction_7f_8,fraction_1_9,fraction_2_9,fraction_3_9,fraction_4_9,fraction_5_9,fraction_6_9,fraction_5f_9,fraction_7f_9,fraction_1_10,fraction_2_10,fraction_3_10,fraction_4_10,fraction_5_10,fraction_6_10,fraction_5f_10,fraction_7f_10
22.62,23.099999999999998,,,,,11.649999999999999,,22.03,22.939999999999998,,,,,11.850000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.09,23.88,26.36,,,,,,23.21,24.130000000000003,,,,,12.719999999999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.63,24.680000000000003,,,,,13.189999999999998,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.2,25.19,,,,,12.729999999999997,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.66,24.59,27.08,27.260000000000005,,,,,24.3,24.09,26.310000000000002,,,,,,22.55,23.66,,,,,12.049999999999997,,22.03,22.939999999999998,,,,,11.850000000000001,,22.22,23.4,,,,,11.910000000000004,,22.32,22.299999999999997,,,,,11.470000000000006,,22.29,,,,,,,,22.25,23.03,,,,,11.909999999999997,,22.82,22.479999999999997,,,,,11.150000000000006,,23.27,23.62,25.14,,,,,
24.73,23.66,25.599999999999994,,,,,,24.16,23.470000000000002,23.82999999999999,25.99000000000001,,,,,24.85,24.15,24.430000000000007,25.47,,,,,24.19,24.029999999999998,24.42,25.189999999999998,,,,,25.0,24.1,23.96,24.36,,,,,24.13,23.750000000000004,24.699999999999996,26.36,,,,,24.62,24.529999999999998,24.080000000000005,25.459999999999994,,,,,23.9,23.92,24.54,26.33,,,,,22.28,23.5,,,,,,,,,,,,,,
25.37,24.81,26.29,,,,,,24.56,25.250000000000004,25.730000000000004,26.569999999999993,,,,,24.06,23.88,26.409999999999997,,,,,,23.34,25.05,25.86,27.0,,,,,22.35,22.97,,,,,11.350000000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22.75,22.83,,,,,12.170000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24.17,24.68,26.580000000000005,,,,,,22.75,22.83,,,,,12.170000000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23.44,23.919999999999998,26.760000000000005,,,,,,23.32,24.119999999999997,,,,,12.940000000000005,,23.56,24.790000000000003,,,,,12.969999999999999,,23.28,24.810000000000002,,,,,12.949999999999996,,23.21,24.130000000000003,,,,,12.719999999999999,,23.89,24.560000000000002,25.739999999999995,,,,,,22.54,23.93,,,,,12.600000000000001,,22.65,23.620000000000005,,,,,12.279999999999994,,,,,,,,,,,,,,,,,
