race,horse_name,sum_net_score,worst_neg,best_pos,trouble_tags
1,AMAZING BERNIE,-3,negative_moderate,none,position_trouble;uncategorized
1,BAND TOUR,-7,negative_moderate,positive_slight,contact_trouble;equipment_issues;position_trouble;starting_trouble;uncategorized
1,BLACKTHORNE BRUSCA,0,none,none,uncategorized
1,DOOR GUNNER JOE,0,none,none,uncategorized
1,EFFICACY,0,none,none,position_trouble;uncategorized
1,FORCED ATTITUDE,-1,negative_slight,none,uncategorized
1,IMPERIAL SPY,-6,negative_moderate,none,position_trouble;uncategorized
1,KEVIN OF BLACKROCK,-2,negative_moderate,none,starting_trouble;uncategorized
1,KUZ IT'S CHILLY,-3,negative_severe,none,uncategorized
1,MOONFLYER,-5,negative_moderate,positive_moderate,contact_trouble;position_trouble;uncategorized
1,MYCROFT,0,none,none,uncategorized
1,MYLUCKEYVALENTINE,-2,negative_moderate,none,contact_trouble;uncategorized
1,ON SECRET SERVICE,-3,negative_moderate,none,behavioral_issues;position_trouble;uncategorized
1,OWHATANITE,-7,negative_moderate,none,behavioral_issues;position_trouble;starting_trouble;uncategorized
1,ROYAL FLUSH HEARTS,0,none,none,uncategorized
1,SKULL HONOR,-3,negative_moderate,positive_slight,contact_trouble;uncategorized
2,ABUELO PAPS,-7,negative_severe,positive_moderate,contact_trouble;equipment_issues;position_trouble;uncategorized
2,ASCENDANCE,-4,negative_moderate,positive_moderate,behavioral_issues;contact_trouble;starting_trouble;uncategorized
2,BEACH COWBOY,-8,negative_moderate,none,behavioral_issues;contact_trouble;uncategorized
2,COFFEEWITHCHRIS,-6,negative_moderate,none,behavioral_issues;position_trouble;uncategorized
2,MIDNIGHT RENEGADE,-3,negative_moderate,none,contact_trouble;position_trouble;starting_trouble;uncategorized
2,SUMO,-9,negative_severe,positive_moderate,contact_trouble;position_trouble;uncategorized
2,TOAST TO COAST,-6,negative_severe,positive_slight,contact_trouble;position_trouble;starting_trouble;uncategorized
3,BARONG,0,none,none,uncategorized
3,BOX OF ROCKETS,-4,negative_moderate,positive_severe,behavioral_issues;contact_trouble;position_trouble;uncategorized
3,CHILL BOSS,-5,negative_severe,none,behavioral_issues;uncategorized
3,CORRECTED PEDIGREE,-3,negative_moderate,positive_moderate,contact_trouble;position_trouble;uncategorized
3,EL JUNIOR,-1,negative_moderate,positive_slight,position_trouble;uncategorized
3,ELLINGER,0,none,none,position_trouble;uncategorized
